:ID,:LABEL,case_id,linked_claim_id,case_type,status,priority,created_date,assigned_investigator,assigned_unit,linked_entities_count,claim_amount,ring_cluster_id,ring_member,ai_model_used,ai_fraud_score,rag_confidence_score,ai_summary,llm_verdict,rubric_score,manual_override_triggered,override_reasons,human_verdict,human_verdict_date,evidence_collected,days_open,estimated_fraud_loss,recovery_initiated,recovery_amount_usd,closed_loop_detected,explanation_trace_id,rag_evidence_nodes,notes
CASE-812025,InvestigationCase,CASE-812025,CLM-812025,High Value,Open,P2 - High,2/22/2015,Inv. Derek Moss,SIU-West,2,50500.0,,No,GraphSAGE-Fraud,0.919,72.0,"Incident on 2/22/2015 in Arlington, SC.
Type: Multi-vehicle Collision | Collision: Side Collision
Severity: Total Loss | Vehicles: 3
Witnesses: 0 | Police Report: YES
Total Claim: $50500",STRONG_RECOVERY_CASE,87,Yes,High Value >$50K,High Value Approved,22/2/2015,Cell Data|Police Report,298,0.0,Yes,19240.54,No,TRACE-5750B6374ABC,CLM-812025|ADJ-8250,
CASE-168151,InvestigationCase,CASE-168151,CLM-168151,Fraud Ring,Under Review,P1 - Critical,1/17/2015,Inv. Derek Moss,SIU-West,2,57690.0,RING-015,Yes,RuleBased-v4,0.833,36.0,"Incident on 1/17/2015 in Columbus, SC.
Type: Single Vehicle Collision | Collision: Side Collision
Severity: Major Damage | Vehicles: 1
Witnesses: 1 | Police Report: NO
Total Claim: $57690",VIABLE_RECOVERY_CASE,74,Yes,High Value >$50K|Fraud Ring Cluster,Cleared,16/11/2015,CCTV|Bank Records|Cell Data|Repair Estimate,324,34262.61,No,0.0,No,TRACE-DB1E987BFE51,CLM-168151|ADJ-3378,
CASE-843227,InvestigationCase,CASE-843227,CLM-843227,Fraud - Individual,Closed - Fraud Confirmed,P2 - High,1/7/2015,Inv. Priya Nair,SIU-Southeast,6,47790.0,,No,GraphSAGE-Fraud,0.85,54.0,"Incident on 1/7/2015 in Northbend, SC.
Type: Multi-vehicle Collision | Collision: Rear Collision
Severity: Major Damage | Vehicles: 3
Witnesses: 2 | Police Report: YES
Total Claim: $47790",VIABLE_RECOVERY_CASE,74,No,,Fraud Confirmed,19/8/2015,Dashcam|Bank Records|Police Report|Medical Records|CCTV,115,27898.35,No,0.0,Yes,TRACE-AB9053743A8D,CLM-843227|ADJ-4172,
CASE-475588,InvestigationCase,CASE-475588,CLM-475588,Fraud Ring,Escalated to SIU,P1 - Critical,2/7/2015,Inv. Marcus Webb,SIU-Southeast,4,59000.0,RING-005,Yes,FraudGNN-v2.1,0.633,18.0,"Incident on 2/7/2015 in Arlington, NC.
Type: Single Vehicle Collision | Collision: Front Collision
Severity: Major Damage | Vehicles: 1
Witnesses: 0 | Police Report: ?
Total Claim: $59000",LOW_RECOVERY_POTENTIAL,30,Yes,High Value >$50K|Injury No Police Report|Fraud Ring Cluster,Inconclusive,2/9/2015,Medical Records|Cell Data|Police Report,38,37150.59,No,0.0,No,TRACE-3E60DA2D29F0,CLM-475588|ADJ-3982,
CASE-751905,InvestigationCase,CASE-751905,CLM-751905,Fraud Ring,Escalated to SIU,P1 - Critical,1/18/2015,Inv. Marcus Webb,SIU-Central,5,70600.0,RING-004,Yes,GraphSAGE-Fraud,0.838,45.0,"Incident on 1/18/2015 in Arlington, NY.
Type: Multi-vehicle Collision | Collision: Rear Collision
Severity: Major Damage | Vehicles: 3
Witnesses: 1 | Police Report: ?
Total Claim: $70600",VIABLE_RECOVERY_CASE,71,Yes,High Value >$50K|Fraud Ring Cluster,Pending,,Dashcam|Witness Statement|CCTV,191,59215.73,Yes,40372.25,No,TRACE-74DE5D69DB61,CLM-751905|ADJ-5064,
CASE-226725,InvestigationCase,CASE-226725,CLM-226725,High Value,Open,P1 - Critical,1/10/2015,Inv. Angela Ruiz,SIU-Central,0,61490.0,,No,HINormer-Auto,0.685,63.0,"Incident on 1/10/2015 in Hillsdale, SC.
Type: Multi-vehicle Collision | Collision: Side Collision
Severity: Minor Damage | Vehicles: 3
Witnesses: 1 | Police Report: ?
Total Claim: $61490",VIABLE_RECOVERY_CASE,66,Yes,High Value >$50K,High Value Approved,9/1/2015,Police Report|Cell Data|Witness Statement|Medical Records|CCTV,16,0.0,No,0.0,No,TRACE-AC65B09A1D13,CLM-226725|ADJ-8373,
CASE-942504,InvestigationCase,CASE-942504,CLM-942504,High Value,Open,P2 - High,1/30/2015,Inv. Priya Nair,SIU-Central,2,57640.0,,No,GraphSAGE-Fraud,0.699,27.0,"Incident on 1/30/2015 in Northbend, SC.
Type: Single Vehicle Collision | Collision: Side Collision
Severity: Minor Damage | Vehicles: 1
Witnesses: 0 | Police Report: YES
Total Claim: $57640",INVESTIGATE_FURTHER,40,Yes,High Value >$50K,Pending,9/6/2015,Bank Records|Repair Estimate,41,0.0,No,0.0,No,TRACE-3B11F22FEB37,CLM-942504|ADJ-3458,
CASE-889883,InvestigationCase,CASE-889883,CLM-889883,Fraud Ring,Closed - Fraud Confirmed,P1 - Critical,1/29/2015,Inv. Angela Ruiz,SIU-Central,8,53280.0,RING-002,Yes,HINormer-Auto,0.702,63.0,"Incident on 1/29/2015 in Columbus, PA.
Type: Multi-vehicle Collision | Collision: Side Collision
Severity: Major Damage | Vehicles: 3
Witnesses: 2 | Police Report: ?
Total Claim: $53280",VIABLE_RECOVERY_CASE,71,Yes,High Value >$50K|Injury No Police Report|Fraud Ring Cluster,Pending,,Police Report|Cell Data|Dashcam|Witness Statement,160,35502.32,Yes,0.0,No,TRACE-1E42927F765E,CLM-889883|ADJ-6777,
CASE-818167,InvestigationCase,CASE-818167,CLM-818167,High Value,Under Review,P1 - Critical,2/24/2015,Inv. Derek Moss,SIU-Midwest,0,78300.0,,No,FraudGNN-v2.1,0.664,27.0,"Incident on 2/24/2015 in Springfield, SC.
Type: Multi-vehicle Collision | Collision: Rear Collision
Severity: Minor Damage | Vehicles: 3
Witnesses: 0 | Police Report: ?
Total Claim: $78300",INVESTIGATE_FURTHER,54,Yes,High Value >$50K,Cleared,,Police Report|Medical Records|Cell Data|Bank Records|CCTV,322,0.0,No,9607.64,No,TRACE-6D29D2D62BA3,CLM-818167|ADJ-5534,
CASE-277767,InvestigationCase,CASE-277767,CLM-277767,High Value,Open,P2 - High,1/4/2015,Inv. Priya Nair,SIU-West,2,41490.0,,No,HINormer-Auto,0.735,63.0,"Incident on 1/4/2015 in Springfield, PA.
Type: Multi-vehicle Collision | Collision: Rear Collision
Severity: Major Damage | Vehicles: 3
Witnesses: 3 | Police Report: NO
Total Claim: $41490",VIABLE_RECOVERY_CASE,77,No,,Pending,2/3/2015,Repair Estimate|Medical Records|CCTV|Cell Data|Police Report,62,0.0,Yes,0.0,No,TRACE-ED37C873AD97,CLM-277767|ADJ-1277,
CASE-842618,InvestigationCase,CASE-842618,CLM-842618,High Value,Closed - Fraud Confirmed,P1 - Critical,2/25/2015,Inv. Sarah Chen,SIU-Central,3,68970.0,,No,HINormer-Auto,0.856,90.0,"Incident on 2/25/2015 in Hillsdale, SC.
Type: Multi-vehicle Collision | Collision: Front Collision
Severity: Total Loss | Vehicles: 3
Witnesses: 3 | Police Report: YES
Total Claim: $68970",STRONG_RECOVERY_CASE,95,Yes,High Value >$50K,Cleared,11/4/2015,Dashcam|Bank Records,146,0.0,No,9572.33,No,TRACE-C128F3E8DE99,CLM-842618|ADJ-8905,
CASE-577810,InvestigationCase,CASE-577810,CLM-577810,High Value,Under Review,P1 - Critical,1/27/2015,Inv. Priya Nair,SIU-Central,0,85300.0,,No,FraudGNN-v2.1,0.788,54.0,"Incident on 1/27/2015 in Arlington, VA.
Type: Multi-vehicle Collision | Collision: Rear Collision
Severity: Minor Damage | Vehicles: 3
Witnesses: 0 | Police Report: YES
Total Claim: $85300",VIABLE_RECOVERY_CASE,71,Yes,High Value >$50K,High Value Approved,24/9/2015,Bank Records|Witness Statement|Medical Records,30,0.0,Yes,36750.95,No,TRACE-45EE3219DB15,CLM-577810|ADJ-9796,
CASE-994538,InvestigationCase,CASE-994538,CLM-994538,Fraud Ring,Closed - Cleared,P1 - Critical,1/31/2015,Inv. Derek Moss,SIU-Midwest,8,71760.0,RING-002,Yes,FraudGNN-v2.1,0.702,63.0,"Incident on 1/31/2015 in Arlington, WV.
Type: Multi-vehicle Collision | Collision: Front Collision
Severity: Major Damage | Vehicles: 4
Witnesses: 0 | Police Report: ?
Total Claim: $71760",VIABLE_RECOVERY_CASE,72,Yes,High Value >$50K|Injury No Police Report|Fraud Ring Cluster,Cleared,12/6/2015,Police Report|Witness Statement|Medical Records,251,45085.58,Yes,0.0,Yes,TRACE-2A8E06C3E65A,CLM-994538|ADJ-1874,
CASE-727792,InvestigationCase,CASE-727792,CLM-727792,High Value,Closed - Cleared,P2 - High,1/18/2015,Inv. Sarah Chen,SIU-Southeast,3,59700.0,,No,GraphSAGE-Fraud,0.78,45.0,"Incident on 1/18/2015 in Arlington, NY.
Type: Multi-vehicle Collision | Collision: Rear Collision
Severity: Minor Damage | Vehicles: 3
Witnesses: 0 | Police Report: NO
Total Claim: $59700",INVESTIGATE_FURTHER,58,Yes,High Value >$50K|Injury No Police Report,Cleared,22/10/2015,Police Report|CCTV|Cell Data|Dashcam|Repair Estimate,289,0.0,No,12919.69,No,TRACE-C7DE03FF1AC0,CLM-727792|ADJ-4383,
CASE-522506,InvestigationCase,CASE-522506,CLM-522506,High Value,Closed - Cleared,P1 - Critical,1/10/2015,Inv. Priya Nair,SIU-Central,3,64920.0,,No,GraphSAGE-Fraud,0.778,45.0,"Incident on 1/10/2015 in Columbus, NY.
Type: Multi-vehicle Collision | Collision: Front Collision
Severity: Minor Damage | Vehicles: 3
Witnesses: 2 | Police Report: ?
Total Claim: $64920",VIABLE_RECOVERY_CASE,76,Yes,High Value >$50K,Pending,,Dashcam|Witness Statement|Repair Estimate|Cell Data|Police Report,138,0.0,Yes,34935.14,No,TRACE-E140F7DD98D4,CLM-522506|ADJ-8107,
CASE-367595,InvestigationCase,CASE-367595,CLM-367595,High Value,Open,P2 - High,1/28/2015,Inv. Derek Moss,SIU-Northeast,0,37530.0,,No,FraudGNN-v2.1,0.752,45.0,"Incident on 1/28/2015 in Riverwood, SC.
Type: Multi-vehicle Collision | Collision: Front Collision
Severity: Major Damage | Vehicles: 3
Witnesses: 1 | Police Report: NO
Total Claim: $37530",INVESTIGATE_FURTHER,58,No,,Cleared,12/11/2015,Bank Records|Cell Data|Witness Statement,214,0.0,No,14524.52,No,TRACE-647D5B4227E5,CLM-367595|ADJ-7536,
CASE-586104,InvestigationCase,CASE-586104,CLM-586104,High Value,Closed - Cleared,P1 - Critical,2/16/2015,Inv. Priya Nair,SIU-Central,0,64080.0,,No,RuleBased-v4,0.789,81.0,"Incident on 2/16/2015 in Columbus, WV.
Type: Multi-vehicle Collision | Collision: Side Collision
Severity: Total Loss | Vehicles: 3
Witnesses: 2 | Police Report: NO
Total Claim: $64080",STRONG_RECOVERY_CASE,85,Yes,High Value >$50K|Injury No Police Report,Cleared,,Cell Data|Police Report|CCTV|Bank Records|Witness Statement,290,0.0,No,36973.63,No,TRACE-3B9588C14F69,CLM-586104|ADJ-1886,
CASE-424862,InvestigationCase,CASE-424862,CLM-424862,Fraud Ring,Closed - Cleared,P1 - Critical,2/8/2015,Inv. Sarah Chen,SIU-Central,2,60390.0,RING-019,Yes,FraudGNN-v2.1,0.574,18.0,"Incident on 2/8/2015 in Northbrook, PA.
Type: Single Vehicle Collision | Collision: Rear Collision
Severity: Minor Damage | Vehicles: 1
Witnesses: 0 | Police Report: ?
Total Claim: $60390",INVESTIGATE_FURTHER,43,Yes,High Value >$50K|Injury No Police Report|Fraud Ring Cluster,Pending,22/7/2015,Dashcam|Medical Records|Witness Statement|CCTV,353,47530.32,No,0.0,No,TRACE-BCEF30614600,CLM-424862|ADJ-3061,
CASE-512813,InvestigationCase,CASE-512813,CLM-512813,Fraud - Individual,Escalated to SIU,P1 - Critical,1/20/2015,Inv. Angela Ruiz,SIU-Northeast,4,64350.0,,No,FraudGNN-v2.1,0.725,54.0,"Incident on 1/20/2015 in Northbend, WV.
Type: Multi-vehicle Collision | Collision: Side Collision
Severity: Major Damage | Vehicles: 3
Witnesses: 1 | Police Report: YES
Total Claim: $64350",VIABLE_RECOVERY_CASE,76,Yes,High Value >$50K,Pending,,Medical Records|Witness Statement|Cell Data,108,34291.09,No,34658.81,Yes,TRACE-71AC1AD0284E,CLM-512813|ADJ-6017,
CASE-356768,InvestigationCase,CASE-356768,CLM-356768,High Value,Closed - Fraud Confirmed,P1 - Critical,2/6/2015,Inv. Sarah Chen,SIU-West,1,70900.0,,No,RuleBased-v4,0.813,90.0,"Incident on 2/6/2015 in Northbend, SC.
Type: Multi-vehicle Collision | Collision: Side Collision
Severity: Minor Damage | Vehicles: 3
Witnesses: 1 | Police Report: YES
Total Claim: $70900",STRONG_RECOVERY_CASE,90,Yes,High Value >$50K,Cleared,,Police Report|CCTV|Bank Records|Repair Estimate|Dashcam,241,0.0,No,0.0,No,TRACE-D6AE012C53A5,CLM-356768|ADJ-1356,
CASE-330506,InvestigationCase,CASE-330506,CLM-330506,High Value,Open,P2 - High,1/24/2015,Inv. Sarah Chen,SIU-West,3,46560.0,,No,HINormer-Auto,0.798,63.0,"Incident on 1/24/2015 in Columbus, PA.
Type: Multi-vehicle Collision | Collision: Side Collision
Severity: Minor Damage | Vehicles: 3
Witnesses: 3 | Police Report: ?
Total Claim: $46560",VIABLE_RECOVERY_CASE,66,Yes,Injury No Police Report,Cleared,,Dashcam|Cell Data,325,0.0,No,14252.27,No,TRACE-4618D44195FA,CLM-330506|ADJ-7004,
CASE-779075,InvestigationCase,CASE-779075,CLM-779075,Fraud - Individual,Under Review,P2 - High,1/14/2015,Inv. Sarah Chen,SIU-Southeast,4,4730.0,,No,RuleBased-v4,0.646,36.0,"Incident on 1/14/2015 in Arlington, NY.
Type: Vehicle Theft | Collision: ?
Severity: Trivial Damage | Vehicles: 1
Witnesses: 1 | Police Report: ?
Total Claim: $4730",LOW_RECOVERY_POTENTIAL,34,Yes,Injury No Police Report,Fraud Confirmed,,Dashcam|Bank Records|CCTV,83,3889.36,No,2222.2,No,TRACE-E91ECE9B372A,CLM-779075|ADJ-2259,
CASE-987905,InvestigationCase,CASE-987905,CLM-987905,Fraud Ring,Closed - Cleared,P1 - Critical,1/10/2015,Inv. Sarah Chen,SIU-West,3,59900.0,RING-001,Yes,HINormer-Auto,0.698,18.0,"Incident on 1/10/2015 in Riverwood, WV.
Type: Single Vehicle Collision | Collision: Rear Collision
Severity: Major Damage | Vehicles: 1
Witnesses: 2 | Police Report: ?
Total Claim: $59900",VIABLE_RECOVERY_CASE,68,Yes,High Value >$50K|Fraud Ring Cluster,Pending,19/5/2015,CCTV|Cell Data,339,44172.08,Yes,28688.93,No,TRACE-7E1B1CF4A7C0,CLM-987905|ADJ-8927,
CASE-967756,InvestigationCase,CASE-967756,CLM-967756,High Value,Open,P1 - Critical,2/13/2015,Inv. Priya Nair,SIU-Central,3,79560.0,,No,HINormer-Auto,0.789,72.0,"Incident on 2/13/2015 in Riverwood, WV.
Type: Multi-vehicle Collision | Collision: Side Collision
Severity: Major Damage | Vehicles: 3
Witnesses: 3 | Police Report: YES
Total Claim: $79560",STRONG_RECOVERY_CASE,92,Yes,High Value >$50K,Cleared,,CCTV|Repair Estimate|Medical Records,270,0.0,No,0.0,No,TRACE-436A0E3B3ECF,CLM-967756|ADJ-5834,
CASE-830414,InvestigationCase,CASE-830414,CLM-830414,High Value,Under Review,P1 - Critical,2/17/2015,Inv. Priya Nair,SIU-Central,2,70290.0,,No,FraudGNN-v2.1,0.782,36.0,"Incident on 2/17/2015 in Northbrook, VA.
Type: Single Vehicle Collision | Collision: Front Collision
Severity: Total Loss | Vehicles: 1
Witnesses: 1 | Police Report: ?
Total Claim: $70290",VIABLE_RECOVERY_CASE,74,Yes,High Value >$50K,Pending,4/5/2015,Dashcam|Witness Statement|Cell Data|CCTV,62,0.0,No,0.0,No,TRACE-6905385B0DF1,CLM-830414|ADJ-1119,
CASE-127313,InvestigationCase,CASE-127313,CLM-127313,High Value,Pending Evidence,P1 - Critical,1/7/2015,Inv. Derek Moss,SIU-Central,1,63910.0,,No,HINormer-Auto,0.795,63.0,"Incident on 1/7/2015 in Hillsdale, SC.
Type: Multi-vehicle Collision | Collision: Rear Collision
Severity: Total Loss | Vehicles: 3
Witnesses: 0 | Police Report: NO
Total Claim: $63910",VIABLE_RECOVERY_CASE,72,Yes,High Value >$50K|Injury No Police Report,High Value Approved,19/10/2015,CCTV|Medical Records,232,0.0,Yes,18141.05,No,TRACE-9C5058C2B574,CLM-127313|ADJ-5123,
CASE-332892,InvestigationCase,CASE-332892,CLM-332892,Fraud Ring,Escalated to SIU,P1 - Critical,2/13/2015,Inv. Angela Ruiz,SIU-Northeast,5,66780.0,RING-011,Yes,RuleBased-v4,0.815,63.0,"Incident on 2/13/2015 in Northbrook, SC.
Type: Single Vehicle Collision | Collision: Rear Collision
Severity: Major Damage | Vehicles: 1
Witnesses: 2 | Police Report: YES
Total Claim: $66780",STRONG_RECOVERY_CASE,92,Yes,High Value >$50K|Fraud Ring Cluster,Cleared,9/9/2015,Police Report|Witness Statement|Dashcam,73,38791.82,Yes,31726.5,No,TRACE-2D782A5DEE30,CLM-332892|ADJ-7248,
CASE-526039,InvestigationCase,CASE-526039,CLM-526039,High Value,Closed - Cleared,P1 - Critical,1/29/2015,Inv. Marcus Webb,SIU-Northeast,1,94160.0,,No,RuleBased-v4,0.823,36.0,"Incident on 1/29/2015 in Arlington, NC.
Type: Single Vehicle Collision | Collision: Side Collision
Severity: Major Damage | Vehicles: 1
Witnesses: 1 | Police Report: ?
Total Claim: $94160",VIABLE_RECOVERY_CASE,74,Yes,High Value >$50K,Pending,27/12/2015,Dashcam|Repair Estimate|Cell Data|Medical Records|Police Report,145,0.0,No,23958.65,No,TRACE-66B07F6BC5E2,CLM-526039|ADJ-3302,
CASE-444422,InvestigationCase,CASE-444422,CLM-444422,High Value,Escalated to SIU,P2 - High,2/6/2015,Inv. Angela Ruiz,SIU-Midwest,3,51570.0,,No,GraphSAGE-Fraud,0.69,45.0,"Incident on 2/6/2015 in Springfield, OH.
Type: Multi-vehicle Collision | Collision: Front Collision
Severity: Total Loss | Vehicles: 3
Witnesses: 2 | Police Report: NO
Total Claim: $51570",VIABLE_RECOVERY_CASE,68,Yes,High Value >$50K,Cleared,23/9/2015,Dashcam|Medical Records|Repair Estimate|Witness Statement,345,0.0,No,0.0,No,TRACE-CBD2D0311D43,CLM-444422|ADJ-7385,
CASE-689500,InvestigationCase,CASE-689500,CLM-689500,Fraud Ring,Closed - Fraud Confirmed,P1 - Critical,1/28/2015,Inv. Angela Ruiz,SIU-West,7,52700.0,RING-019,Yes,RuleBased-v4,0.693,45.0,"Incident on 1/28/2015 in Northbend, NC.
Type: Multi-vehicle Collision | Collision: Rear Collision
Severity: Major Damage | Vehicles: 3
Witnesses: 0 | Police Report: NO
Total Claim: $52700",INVESTIGATE_FURTHER,58,Yes,High Value >$50K|Injury No Police Report|Fraud Ring Cluster,Pending,21/4/2015,Repair Estimate|Dashcam|CCTV|Police Report,132,29986.47,Yes,11128.45,No,TRACE-7C6F21B0E9A1,CLM-689500|ADJ-2743,
CASE-806081,InvestigationCase,CASE-806081,CLM-806081,High Value,Closed - Fraud Confirmed,P1 - Critical,1/21/2015,Inv. Sarah Chen,SIU-Central,2,101010.0,,No,FraudGNN-v2.1,0.798,54.0,"Incident on 1/21/2015 in Columbus, NY.
Type: Single Vehicle Collision | Collision: Side Collision
Severity: Minor Damage | Vehicles: 1
Witnesses: 2 | Police Report: ?
Total Claim: $101010",STRONG_RECOVERY_CASE,82,Yes,High Value >$50K|Injury No Police Report,Cleared,16/8/2015,Cell Data|Witness Statement|Repair Estimate|Police Report,120,0.0,No,0.0,No,TRACE-98F814658926,CLM-806081|ADJ-6345,
CASE-384618,InvestigationCase,CASE-384618,CLM-384618,Fraud Ring,Open,P1 - Critical,1/16/2015,Inv. Priya Nair,SIU-Southeast,4,53400.0,RING-013,Yes,RuleBased-v4,0.788,72.0,"Incident on 1/16/2015 in Columbus, NC.
Type: Multi-vehicle Collision | Collision: Rear Collision
Severity: Minor Damage | Vehicles: 4
Witnesses: 2 | Police Report: YES
Total Claim: $53400",STRONG_RECOVERY_CASE,92,Yes,High Value >$50K|Fraud Ring Cluster,Pending,10/3/2015,Repair Estimate|Witness Statement|Police Report|Dashcam|CCTV,162,33197.32,Yes,0.0,Yes,TRACE-8257D6873416,CLM-384618|ADJ-7302,
CASE-756459,InvestigationCase,CASE-756459,CLM-756459,High Value,Closed - Cleared,P1 - Critical,2/17/2015,Inv. Angela Ruiz,SIU-Northeast,3,72120.0,,No,HINormer-Auto,0.773,36.0,"Incident on 2/17/2015 in Northbrook, SC.
Type: Single Vehicle Collision | Collision: Side Collision
Severity: Total Loss | Vehicles: 1
Witnesses: 2 | Police Report: NO
Total Claim: $72120",VIABLE_RECOVERY_CASE,64,Yes,High Value >$50K|Injury No Police Report,Cleared,,Bank Records|Witness Statement|Repair Estimate|Police Report|Medical Records,141,0.0,Yes,0.0,No,TRACE-10AF6FCF484F,CLM-756459|ADJ-8641,
CASE-655787,InvestigationCase,CASE-655787,CLM-655787,High Value,Under Review,P1 - Critical,2/1/2015,Inv. Sarah Chen,SIU-Midwest,1,77100.0,,No,HINormer-Auto,0.776,90.0,"Incident on 2/1/2015 in Hillsdale, PA.
Type: Multi-vehicle Collision | Collision: Front Collision
Severity: Minor Damage | Vehicles: 3
Witnesses: 2 | Police Report: YES
Total Claim: $77100",STRONG_RECOVERY_CASE,95,Yes,High Value >$50K,Pending,18/9/2015,Cell Data|Witness Statement|Bank Records|Repair Estimate|Medical Records,202,0.0,No,0.0,No,TRACE-69ABB2A61207,CLM-655787|ADJ-8137,
CASE-515698,InvestigationCase,CASE-515698,CLM-515698,High Value,Closed - Fraud Confirmed,P1 - Critical,2/6/2015,Inv. Angela Ruiz,SIU-Central,0,63720.0,,No,GraphSAGE-Fraud,0.779,45.0,"Incident on 2/6/2015 in Northbend, PA.
Type: Multi-vehicle Collision | Collision: Rear Collision
Severity: Major Damage | Vehicles: 2
Witnesses: 0 | Police Report: ?
Total Claim: $63720",VIABLE_RECOVERY_CASE,66,Yes,High Value >$50K|Injury No Police Report,Cleared,20/3/2015,Police Report|Cell Data,256,0.0,No,0.0,No,TRACE-E5C0096D3FF0,CLM-515698|ADJ-4739,
CASE-132871,InvestigationCase,CASE-132871,CLM-132871,High Value,Open,P3 - Medium,2/3/2015,Inv. Marcus Webb,SIU-Central,3,7680.0,,No,FraudGNN-v2.1,0.689,36.0,"Incident on 2/3/2015 in Riverwood, SC.
Type: Vehicle Theft | Collision: ?
Severity: Trivial Damage | Vehicles: 1
Witnesses: 3 | Police Report: NO
Total Claim: $7680",INVESTIGATE_FURTHER,44,Yes,Injury No Police Report,Pending,,Medical Records|Dashcam|Repair Estimate|Witness Statement,156,0.0,No,0.0,No,TRACE-40F727200E1B,CLM-132871|ADJ-8656,
CASE-714929,InvestigationCase,CASE-714929,CLM-714929,High Value,Closed - Cleared,P1 - Critical,1/27/2015,Inv. Sarah Chen,SIU-West,3,93730.0,,No,HINormer-Auto,0.791,81.0,"Incident on 1/27/2015 in Riverwood, NY.
Type: Multi-vehicle Collision | Collision: Side Collision
Severity: Total Loss | Vehicles: 3
Witnesses: 2 | Police Report: ?
Total Claim: $93730",STRONG_RECOVERY_CASE,85,Yes,High Value >$50K,Pending,12/4/2015,Bank Records|Dashcam|CCTV,136,0.0,Yes,27145.96,No,TRACE-C05C59126919,CLM-714929|ADJ-5851,
CASE-297816,InvestigationCase,CASE-297816,CLM-297816,High Value,Closed - Fraud Confirmed,P1 - Critical,1/21/2015,Inv. Angela Ruiz,SIU-Central,0,87300.0,,No,RuleBased-v4,0.771,63.0,"Incident on 1/21/2015 in Arlington, NC.
Type: Multi-vehicle Collision | Collision: Rear Collision
Severity: Major Damage | Vehicles: 3
Witnesses: 2 | Police Report: ?
Total Claim: $87300",STRONG_RECOVERY_CASE,82,Yes,High Value >$50K,Cleared,16/11/2015,Dashcam|Cell Data|Bank Records|Repair Estimate,339,0.0,No,0.0,No,TRACE-729B6977EEC4,CLM-297816|ADJ-9160,
CASE-615047,InvestigationCase,CASE-615047,CLM-615047,High Value,Pending Evidence,P1 - Critical,1/17/2015,Inv. Priya Nair,SIU-Central,1,65800.0,,No,GraphSAGE-Fraud,0.719,45.0,"Incident on 1/17/2015 in Springfield, NY.
Type: Multi-vehicle Collision | Collision: Rear Collision
Severity: Minor Damage | Vehicles: 3
Witnesses: 0 | Police Report: NO
Total Claim: $65800",VIABLE_RECOVERY_CASE,69,Yes,High Value >$50K,Cleared,2/9/2015,Witness Statement|Medical Records,24,0.0,No,0.0,No,TRACE-B61E18B4A516,CLM-615047|ADJ-5664,
CASE-771236,InvestigationCase,CASE-771236,CLM-771236,Fraud - Individual,Escalated to SIU,P2 - High,2/23/2015,Inv. Sarah Chen,SIU-West,7,36720.0,,No,HINormer-Auto,0.732,45.0,"Incident on 2/23/2015 in Arlington, NY.
Type: Single Vehicle Collision | Collision: Front Collision
Severity: Major Damage | Vehicles: 1
Witnesses: 1 | Police Report: YES
Total Claim: $36720",VIABLE_RECOVERY_CASE,64,No,,Pending,24/2/2015,Medical Records|Repair Estimate|Witness Statement,211,24030.1,No,0.0,Yes,TRACE-F0B35290B22B,CLM-771236|ADJ-9063,
CASE-235869,InvestigationCase,CASE-235869,CLM-235869,Fraud Ring,Open,P1 - Critical,1/9/2015,Inv. Derek Moss,SIU-Central,8,52800.0,RING-016,Yes,GraphSAGE-Fraud,0.814,45.0,"Incident on 1/9/2015 in Riverwood, SC.
Type: Single Vehicle Collision | Collision: Side Collision
Severity: Major Damage | Vehicles: 1
Witnesses: 1 | Police Report: YES
Total Claim: $52800",VIABLE_RECOVERY_CASE,71,Yes,High Value >$50K|Fraud Ring Cluster,Fraud Confirmed,11/3/2015,Police Report|Witness Statement|CCTV|Bank Records,303,34139.13,No,0.0,Yes,TRACE-B3ADAB692CCB,CLM-235869|ADJ-1847,
CASE-931625,InvestigationCase,CASE-931625,CLM-931625,Fraud - Individual,Closed - Cleared,P2 - High,2/15/2015,Inv. Priya Nair,SIU-Central,7,59100.0,,No,HINormer-Auto,0.775,72.0,"Incident on 2/15/2015 in Arlington, SC.
Type: Multi-vehicle Collision | Collision: Rear Collision
Severity: Total Loss | Vehicles: 3
Witnesses: 2 | Police Report: YES
Total Claim: $59100",STRONG_RECOVERY_CASE,84,Yes,High Value >$50K,Inconclusive,,CCTV|Repair Estimate,32,46163.15,No,0.0,No,TRACE-4993CA7BD2A8,CLM-931625|ADJ-1400,
CASE-371635,InvestigationCase,CASE-371635,CLM-371635,High Value,Escalated to SIU,P1 - Critical,1/16/2015,Inv. Angela Ruiz,SIU-Central,3,77440.0,,No,RuleBased-v4,0.812,72.0,"Incident on 1/16/2015 in Northbrook, NY.
Type: Multi-vehicle Collision | Collision: Rear Collision
Severity: Total Loss | Vehicles: 3
Witnesses: 1 | Police Report: YES
Total Claim: $77440",STRONG_RECOVERY_CASE,87,Yes,High Value >$50K,Cleared,28/5/2015,Medical Records|Witness Statement|Dashcam|Bank Records,345,0.0,Yes,34446.05,No,TRACE-686FCEE6812E,CLM-371635|ADJ-7882,
