:ID,:LABEL,policy_number,policy_bind_date,policy_expiry_date,policy_state,policy_status,coverage_csl,bodily_injury_limit,property_damage_limit,deductible_amount,annual_premium,monthly_premium,payment_frequency,total_paid_to_date,umbrella_coverage,umbrella_limit,uninsured_motorist_coverage,medical_payments_coverage,collision_coverage,comprehensive_coverage,endorsements,endorsement_count,multi_policy_discount,safe_driver_discount,loyalty_discount,total_discount_pct,prior_policy_carrier,policy_source_channel,renewal_count,cancellation_reason,last_reviewed_date,underwriter_id,territory_code,rated_drivers_count,rated_vehicles_count
POL-118137,Policy,118137,2/10/1998,2/10/1999,OH,Active,100/300,100K,300K,500,1238.65,103.22,Monthly,25020.73,No,0,No,Yes,Yes,Yes,New Car Replacement|Custom Parts|Rental Reimbursement,3,No,No,Yes,6.9,None - First Policy,Referral,19,N/A,1/01/2015,UW-1862,TER-OH-16,1,1
POL-212674,Policy,212674,9/1/1992,9/1/1993,OH,Active,250/500,250K,500K,500,1050.76,87.56,Monthly,38562.89,No,0,Yes,No,Yes,Yes,Rental Reimbursement|Custom Parts|New Car Replacement,3,No,Yes,Yes,13.0,Nationwide,Agent,35,N/A,12/01/2015,UW-7159,TER-OH-47,1,1
POL-935596,Policy,935596,5/1/1999,5/1/2000,OH,Active,500/1000,500K,1000K,1000,1711.72,142.64,Monthly,2909.92,No,0,Yes,No,Yes,No,Rideshare Coverage,1,No,No,No,15.5,Progressive,Online,0,N/A,19/01/2015,UW-7670,TER-OH-80,1,1
POL-737593,Policy,737593,12/19/1997,12/19/1998,IL,Suspended,100/300,100K,300K,500,865.33,72.11,Annual,33228.67,Yes,7000000,Yes,No,Yes,No,None,0,No,No,Yes,12.3,State Farm,Phone,37,N/A,11/01/2015,UW-3029,TER-IL-76,2,1
POL-812025,Policy,812025,6/18/2000,6/18/2001,IL,Cancelled,250/500,250K,500K,500,1153.49,96.12,Semi-Annual,19955.38,No,0,Yes,No,Yes,No,Rideshare Coverage|Gap Coverage|Rental Reimbursement,3,Yes,Yes,Yes,3.0,Nationwide,Online,16,N/A,14/01/2015,UW-9864,TER-IL-15,1,1
POL-168151,Policy,168151,4/24/1995,4/24/1996,OH,Active,500/1000,500K,1000K,2000,1281.25,106.77,Monthly,29725.0,No,0,No,No,Yes,Yes,Custom Parts,1,Yes,Yes,Yes,4.2,None - First Policy,Agent,22,N/A,5/01/2015,UW-4819,TER-OH-21,3,1
POL-594739,Policy,594739,6/16/2006,6/16/2007,IL,Active,100/300,100K,300K,500,1342.8,111.9,Monthly,27258.84,No,0,Yes,Yes,Yes,Yes,New Car Replacement,1,No,No,Yes,16.7,None - First Policy,Online,19,N/A,23/01/2015,UW-3908,TER-IL-55,1,1
POL-843227,Policy,843227,9/28/2007,9/28/2008,OH,Pending Renewal,250/500,250K,500K,2000,1443.32,120.28,Quarterly,16165.18,No,0,No,Yes,Yes,Yes,Custom Parts,1,No,Yes,Yes,9.2,None - First Policy,Agent,10,N/A,27/01/2015,UW-3775,TER-OH-54,1,1
POL-283925,Policy,283925,11/21/1991,11/21/1992,OH,Pending Renewal,250/500,250K,500K,1000,1629.94,135.83,Quarterly,16625.39,No,0,Yes,Yes,Yes,Yes,Roadside Assistance|New Car Replacement|Gap Coverage,3,No,Yes,Yes,7.8,State Farm,Agent,9,N/A,24/01/2015,UW-1195,TER-OH-88,2,1
POL-475588,Policy,475588,9/21/1996,9/21/1997,IL,Active,100/300,100K,300K,2000,1134.08,94.51,Monthly,14743.04,No,0,No,Yes,Yes,Yes,Roadside Assistance|New Car Replacement|Rental Reimbursement,3,Yes,No,Yes,3.3,Progressive,Agent,12,N/A,1/01/2015,UW-4969,TER-IL-73,2,1
POL-751905,Policy,751905,5/16/2001,5/16/2002,OH,Active,250/500,250K,500K,500,1483.91,123.66,Semi-Annual,28639.46,Yes,8000000,Yes,Yes,Yes,Yes,Roadside Assistance|Gap Coverage|Rideshare Coverage,3,No,No,Yes,11.3,State Farm,Referral,18,N/A,25/01/2015,UW-3937,TER-OH-68,2,1
POL-226725,Policy,226725,8/11/1999,8/11/2000,IN,Active,500/1000,500K,1000K,2000,1304.67,108.72,Quarterly,26484.8,Yes,7000000,Yes,Yes,Yes,Yes,New Car Replacement|Custom Parts,2,No,No,Yes,5.3,State Farm,Agent,19,N/A,12/01/2015,UW-9883,TER-IN-61,1,1
POL-942504,Policy,942504,6/16/2003,6/16/2004,IL,Active,500/1000,500K,1000K,2000,1035.79,86.32,Semi-Annual,7250.53,No,0,No,Yes,Yes,Yes,Rental Reimbursement|Rideshare Coverage,2,No,Yes,Yes,23.4,Allstate,Agent,6,N/A,24/01/2015,UW-4331,TER-IL-12,1,1
POL-395572,Policy,395572,3/30/1999,3/30/2000,IL,Active,250/500,250K,500K,500,1401.2,116.77,Quarterly,45959.36,No,0,No,Yes,Yes,Yes,New Car Replacement|Rental Reimbursement|Gap Coverage,3,No,No,Yes,7.5,State Farm,Online,31,N/A,25/01/2015,UW-8192,TER-IL-61,1,1
POL-889883,Policy,889883,2/3/1999,2/3/2000,IL,Cancelled,250/500,250K,500K,1000,1665.45,138.79,Annual,34141.72,No,0,Yes,Yes,Yes,Yes,None,0,No,No,Yes,23.5,None - First Policy,Online,19,N/A,11/01/2015,UW-8237,TER-IL-51,3,1
POL-818167,Policy,818167,8/25/2011,8/25/2012,IN,Active,500/1000,500K,1000K,2000,653.66,54.47,Annual,1895.61,No,0,Yes,Yes,Yes,Yes,None,0,No,Yes,No,3.2,Nationwide,Online,1,N/A,27/01/2015,UW-2004,TER-IN-61,2,1
POL-277767,Policy,277767,6/28/2010,6/28/2011,OH,Active,100/300,100K,300K,500,1080.13,90.01,Annual,14041.69,No,0,No,No,Yes,Yes,Gap Coverage,1,No,No,Yes,21.5,Allstate,Agent,12,N/A,17/01/2015,UW-2855,TER-OH-23,2,1
POL-842618,Policy,842618,11/6/2001,11/6/2002,IN,Active,100/300,100K,300K,2000,1346.18,112.18,Annual,21808.12,No,0,Yes,Yes,Yes,Yes,Rideshare Coverage|Custom Parts,2,Yes,No,Yes,7.4,Allstate,Agent,15,N/A,12/01/2015,UW-3140,TER-IN-46,2,1
POL-577810,Policy,577810,4/15/2013,4/15/2014,OH,Cancelled,250/500,250K,500K,2000,1589.54,132.46,Semi-Annual,48957.83,No,0,Yes,No,Yes,Yes,Roadside Assistance|Rideshare Coverage|New Car Replacement,3,No,No,Yes,7.0,State Farm,Online,29,N/A,11/01/2015,UW-1308,TER-OH-93,2,1
POL-873114,Policy,873114,12/7/1995,12/7/1996,IL,Active,100/300,100K,300K,1000,1251.65,104.3,Monthly,28287.29,No,0,Yes,Yes,No,No,Gap Coverage|Rideshare Coverage,2,No,No,Yes,2.4,None - First Policy,Online,21,N/A,28/01/2015,UW-8034,TER-IL-25,2,1
POL-994538,Policy,994538,11/1/1991,11/1/1992,IL,Suspended,100/300,100K,300K,2000,1083.01,90.25,Annual,29999.38,No,0,Yes,No,Yes,No,None,0,No,No,Yes,8.2,Nationwide,Online,26,N/A,6/01/2015,UW-1711,TER-IL-41,1,1
POL-727792,Policy,727792,5/19/2014,5/19/2015,OH,Active,100/300,100K,300K,500,974.59,81.22,Semi-Annual,8673.85,No,0,Yes,Yes,Yes,Yes,New Car Replacement|Rideshare Coverage|Custom Parts,3,No,Yes,Yes,19.2,Nationwide,Agent,7,N/A,24/01/2015,UW-1347,TER-OH-30,3,1
POL-522506,Policy,522506,3/15/1992,3/15/1993,IL,Suspended,500/1000,500K,1000K,2000,1399.85,116.65,Annual,25337.28,No,0,Yes,Yes,Yes,Yes,Custom Parts,1,Yes,No,Yes,15.9,Nationwide,Online,17,N/A,13/01/2015,UW-5879,TER-IL-48,2,1
POL-367595,Policy,367595,2/3/2006,2/3/2007,IN,Active,500/1000,500K,1000K,500,1307.74,108.98,Monthly,26416.35,No,0,Yes,Yes,Yes,No,None,0,Yes,Yes,Yes,14.7,Allstate,Referral,19,N/A,5/01/2015,UW-5644,TER-IN-39,1,1
POL-586104,Policy,586104,3/16/2003,3/16/2004,IN,Active,250/500,250K,500K,2000,1219.27,101.61,Quarterly,30115.97,No,0,Yes,Yes,Yes,Yes,Gap Coverage|Rental Reimbursement|Custom Parts,3,No,No,Yes,8.4,State Farm,Phone,23,N/A,23/01/2015,UW-5035,TER-IN-93,2,1
POL-424862,Policy,424862,10/16/2002,10/16/2003,OH,Active,100/300,100K,300K,500,1411.3,117.61,Semi-Annual,31048.6,No,0,Yes,Yes,No,Yes,Rideshare Coverage|Rental Reimbursement|New Car Replacement,3,No,Yes,Yes,2.4,Progressive,Online,21,N/A,20/01/2015,UW-6400,TER-OH-62,1,1
POL-512813,Policy,512813,1/27/1990,1/27/1991,IL,Pending Renewal,100/300,100K,300K,2000,694.45,57.87,Monthly,6250.05,No,0,No,No,Yes,No,Gap Coverage|Custom Parts,2,Yes,No,Yes,18.6,None - First Policy,Agent,8,N/A,25/01/2015,UW-3940,TER-IL-72,1,1
POL-356768,Policy,356768,3/11/2010,3/11/2011,IL,Pending Renewal,100/300,100K,300K,500,1006.77,83.9,Semi-Annual,2718.28,Yes,6000000,No,No,Yes,No,Gap Coverage,1,No,Yes,No,17.0,State Farm,Agent,1,N/A,22/01/2015,UW-3217,TER-IL-30,3,1
POL-330506,Policy,330506,9/19/1995,9/19/1996,OH,Active,250/500,250K,500K,1000,1422.36,118.53,Quarterly,30722.98,No,0,No,Yes,Yes,Yes,Rental Reimbursement,1,No,Yes,Yes,9.0,State Farm,Agent,20,N/A,17/01/2015,UW-8703,TER-OH-15,2,1
POL-779075,Policy,779075,2/27/2010,2/27/2011,IN,Active,100/300,100K,300K,1000,1348.32,112.36,Quarterly,20898.96,No,0,Yes,No,Yes,No,None,0,No,No,Yes,13.9,State Farm,Agent,14,N/A,18/01/2015,UW-2798,TER-IN-21,3,1
POL-799501,Policy,799501,12/28/1991,12/28/1992,OH,Lapsed,250/500,250K,500K,2000,1315.56,109.63,Quarterly,22101.41,No,0,Yes,Yes,No,Yes,Rental Reimbursement|Roadside Assistance|Rideshare Coverage,3,No,No,Yes,11.3,None - First Policy,Agent,15,N/A,26/01/2015,UW-1567,TER-OH-22,1,1
POL-987905,Policy,987905,4/30/2002,4/30/2003,OH,Active,250/500,250K,500K,2000,1407.01,117.25,Monthly,51074.46,Yes,5000000,No,Yes,Yes,Yes,None,0,No,Yes,Yes,0.6,Progressive,Agent,35,N/A,9/01/2015,UW-2934,TER-OH-28,3,1
POL-967756,Policy,967756,4/28/2007,4/28/2008,OH,Active,250/500,250K,500K,2000,1388.58,115.71,Monthly,21939.56,No,0,Yes,Yes,Yes,Yes,None,0,Yes,Yes,Yes,17.1,Progressive,Phone,14,N/A,19/01/2015,UW-4547,TER-OH-81,1,1
POL-830414,Policy,830414,7/8/1996,7/8/1997,IL,Active,500/1000,500K,1000K,500,1310.76,109.23,Monthly,11534.69,No,0,Yes,No,Yes,Yes,Gap Coverage|Roadside Assistance|Rental Reimbursement,3,Yes,Yes,Yes,21.3,None - First Policy,Phone,7,N/A,3/01/2015,UW-9331,TER-IL-39,2,1
POL-127313,Policy,127313,4/1/2002,4/1/2003,IN,Active,100/300,100K,300K,1000,1004.63,83.72,Quarterly,13662.97,Yes,6000000,Yes,Yes,Yes,Yes,New Car Replacement,1,No,No,Yes,10.5,State Farm,Agent,12,N/A,21/01/2015,UW-6586,TER-IN-14,1,1
POL-786957,Policy,786957,10/29/2006,10/29/2007,OH,Active,100/300,100K,300K,500,1134.91,94.58,Semi-Annual,20655.36,No,0,No,No,Yes,Yes,Rental Reimbursement|New Car Replacement,2,No,No,Yes,0.5,Allstate,Phone,17,N/A,22/01/2015,UW-3842,TER-OH-17,3,1
POL-332892,Policy,332892,10/25/2007,10/25/2008,IN,Active,250/500,250K,500K,1000,1194.0,99.5,Semi-Annual,8716.2,No,0,Yes,No,No,Yes,Rental Reimbursement|Roadside Assistance,2,Yes,Yes,Yes,8.0,Allstate,Referral,6,N/A,24/01/2015,UW-7266,TER-IN-66,2,1
POL-448642,Policy,448642,3/28/2001,3/28/2002,IN,Active,500/1000,500K,1000K,1000,1248.25,104.02,Annual,4119.22,Yes,4000000,No,Yes,Yes,Yes,None,0,Yes,No,No,18.4,Allstate,Agent,2,N/A,8/01/2015,UW-5543,TER-IN-74,1,1
POL-526039,Policy,526039,5/4/1995,5/4/1996,OH,Pending Renewal,100/300,100K,300K,500,1338.54,111.55,Semi-Annual,31723.4,No,-1000000,No,No,Yes,No,Rideshare Coverage,1,No,Yes,Yes,8.1,Progressive,Referral,22,N/A,11/01/2015,UW-6016,TER-OH-58,2,1
POL-444422,Policy,444422,9/28/2011,9/28/2012,IL,Active,250/500,250K,500K,2000,782.23,65.19,Semi-Annual,3832.93,No,0,Yes,No,Yes,Yes,Roadside Assistance|Custom Parts,2,No,No,No,7.8,Progressive,Agent,3,N/A,10/01/2015,UW-9893,TER-IL-40,1,1
POL-689500,Policy,689500,1/28/2003,1/28/2004,IL,Pending Renewal,250/500,250K,500K,2000,1366.9,113.91,Monthly,4374.08,No,0,Yes,Yes,Yes,Yes,None,0,No,No,No,2.8,None - First Policy,Phone,2,N/A,18/01/2015,UW-6754,TER-IL-54,2,1
POL-806081,Policy,806081,2/1/2011,2/1/2012,IL,Active,500/1000,500K,1000K,1000,1275.81,106.32,Monthly,15564.88,No,0,Yes,Yes,No,Yes,None,0,Yes,No,Yes,4.7,None - First Policy,Online,11,N/A,4/01/2015,UW-4487,TER-IL-12,1,1
POL-384618,Policy,384618,2/9/1993,2/9/1994,IN,Active,250/500,250K,500K,500,1090.65,90.89,Semi-Annual,14178.45,No,0,Yes,Yes,No,Yes,New Car Replacement|Custom Parts,2,No,No,Yes,16.6,Allstate,Online,12,N/A,28/01/2015,UW-6290,TER-IN-28,1,1
POL-756459,Policy,756459,8/5/2005,8/5/2006,IN,Pending Renewal,250/500,250K,500K,500,1326.0,110.5,Quarterly,13525.2,No,0,Yes,Yes,No,No,New Car Replacement|Gap Coverage|Rental Reimbursement,3,Yes,No,Yes,1.6,None - First Policy,Agent,9,N/A,6/01/2015,UW-6961,TER-IN-72,1,1
POL-655787,Policy,655787,6/17/2006,6/17/2007,IL,Active,250/500,250K,500K,2000,972.47,81.04,Annual,18671.42,No,0,No,Yes,Yes,Yes,Rideshare Coverage,1,No,Yes,Yes,21.1,Allstate,Agent,18,N/A,24/01/2015,UW-7609,TER-IL-60,2,1
POL-419954,Policy,419954,12/7/1993,12/7/1994,IL,Active,100/300,100K,300K,500,806.31,67.19,Quarterly,16609.99,No,0,No,Yes,Yes,Yes,None,0,No,No,Yes,5.5,Nationwide,Online,19,N/A,18/01/2015,UW-2258,TER-IL-61,1,1
POL-275092,Policy,275092,3/14/2012,3/14/2013,IL,Active,500/1000,500K,1000K,500,1416.24,118.02,Monthly,22943.09,No,0,Yes,No,No,Yes,Roadside Assistance,1,No,No,Yes,13.7,State Farm,Agent,15,N/A,28/01/2015,UW-8848,TER-IL-55,2,1
POL-515698,Policy,515698,8/5/1997,8/5/1998,IN,Active,250/500,250K,500K,2000,1097.64,91.47,Annual,10866.64,No,0,Yes,Yes,Yes,Yes,None,0,No,No,Yes,16.9,None - First Policy,Online,8,N/A,14/01/2015,UW-6684,TER-IN-92,1,1
POL-132871,Policy,132871,7/5/2009,7/5/2010,IL,Active,100/300,100K,300K,500,947.75,78.98,Semi-Annual,20471.4,No,0,Yes,Yes,No,Yes,None,0,No,No,Yes,21.8,Allstate,Online,20,N/A,25/01/2015,UW-3970,TER-IL-34,1,1
POL-714929,Policy,714929,11/25/1994,11/25/1995,IL,Active,100/300,100K,300K,2000,1018.73,84.89,Annual,9066.7,Yes,5000000,No,Yes,Yes,Yes,None,0,No,No,Yes,3.6,None - First Policy,Agent,7,N/A,21/01/2015,UW-2610,TER-IL-60,1,1
POL-297816,Policy,297816,2/3/1997,2/3/1998,IL,Pending Renewal,100/300,100K,300K,2000,1400.74,116.73,Annual,5602.96,No,0,Yes,No,Yes,Yes,Roadside Assistance|New Car Replacement,2,No,No,No,5.8,State Farm,Agent,3,N/A,4/01/2015,UW-8059,TER-IL-16,2,1
POL-426708,Policy,426708,10/9/2009,10/9/2010,IL,Cancelled,250/500,250K,500K,500,1155.53,96.29,Semi-Annual,25652.77,Yes,5000000,Yes,Yes,Yes,Yes,Rental Reimbursement,1,No,No,Yes,18.2,State Farm,Online,21,N/A,2/01/2015,UW-8127,TER-IL-85,1,1
POL-615047,Policy,615047,11/20/2002,11/20/2003,IN,Active,250/500,250K,500K,500,1386.93,115.58,Semi-Annual,33008.93,No,0,Yes,No,Yes,No,None,0,Yes,Yes,Yes,8.5,Allstate,Agent,22,N/A,21/01/2015,UW-7788,TER-IN-65,2,1
POL-771236,Policy,771236,5/29/1995,5/29/1996,OH,Active,100/300,100K,300K,500,915.29,76.27,Annual,13363.23,No,0,Yes,Yes,Yes,No,None,0,Yes,No,Yes,13.0,State Farm,Online,13,N/A,26/01/2015,UW-2071,TER-OH-53,2,1
POL-235869,Policy,235869,1/22/2011,1/22/2012,IL,Active,250/500,250K,500K,500,1239.55,103.3,Quarterly,11403.86,Yes,2000000,Yes,No,Yes,No,None,0,No,Yes,Yes,13.2,State Farm,Agent,8,N/A,10/01/2015,UW-9317,TER-IL-62,1,1
POL-931625,Policy,931625,10/18/2012,10/18/2013,IN,Active,250/500,250K,500K,500,1366.42,113.87,Annual,17216.89,No,0,No,Yes,Yes,Yes,Rideshare Coverage|Custom Parts|New Car Replacement,3,No,No,Yes,0.5,Allstate,Agent,11,N/A,7/01/2015,UW-8051,TER-IN-41,2,1
POL-371635,Policy,371635,10/13/1991,10/13/1992,OH,Active,500/1000,500K,1000K,1000,1086.48,90.54,Quarterly,14124.24,Yes,6000000,No,Yes,Yes,Yes,Roadside Assistance,1,Yes,Yes,Yes,12.1,State Farm,Online,12,N/A,15/01/2015,UW-4087,TER-OH-10,1,1
POL-427199,Policy,427199,10/1/2010,10/1/2011,IL,Active,250/500,250K,500K,2000,1247.87,103.99,Semi-Annual,17220.61,No,0,Yes,No,Yes,No,Rental Reimbursement,1,No,Yes,Yes,5.9,Nationwide,Agent,12,N/A,3/01/2015,UW-1350,TER-IL-79,1,1
POL-261315,Policy,261315,4/10/2013,4/10/2014,OH,Lapsed,100/300,100K,300K,2000,1312.75,109.4,Quarterly,27699.03,No,0,Yes,No,Yes,Yes,Custom Parts|New Car Replacement|Gap Coverage,3,Yes,No,Yes,14.6,None - First Policy,Phone,20,N/A,18/01/2015,UW-5355,TER-OH-71,2,1
POL-582973,Policy,582973,6/11/2008,6/11/2009,IN,Cancelled,100/300,100K,300K,2000,765.64,63.8,Monthly,612.51,No,0,Yes,No,Yes,Yes,Gap Coverage|Roadside Assistance,2,Yes,No,No,22.9,None - First Policy,Phone,0,N/A,12/01/2015,UW-9207,TER-IN-30,1,1
POL-278091,Policy,278091,12/4/2013,12/4/2014,OH,Active,100/300,100K,300K,2000,1327.41,110.62,Semi-Annual,17521.81,No,0,Yes,No,Yes,No,Rideshare Coverage|Gap Coverage|New Car Replacement,3,Yes,No,Yes,10.9,None - First Policy,Agent,12,N/A,9/01/2015,UW-3301,TER-OH-61,1,1
POL-153154,Policy,153154,8/21/2010,8/21/2011,OH,Active,500/1000,500K,1000K,1000,1338.55,111.55,Quarterly,48589.36,No,0,Yes,Yes,No,Yes,Roadside Assistance|New Car Replacement|Gap Coverage,3,No,No,Yes,4.0,State Farm,Agent,35,N/A,17/01/2015,UW-8754,TER-OH-34,3,1
POL-515217,Policy,515217,6/18/2010,6/18/2011,IL,Active,250/500,250K,500K,2000,1316.63,109.72,Monthly,10006.39,Yes,8000000,No,Yes,Yes,Yes,Custom Parts|New Car Replacement|Rideshare Coverage,3,No,No,Yes,17.5,Allstate,Agent,6,N/A,3/01/2015,UW-6977,TER-IL-43,1,1
POL-860497,Policy,860497,4/10/1992,4/10/1993,IL,Pending Renewal,500/1000,500K,1000K,1000,1286.44,107.2,Semi-Annual,27401.17,No,0,Yes,Yes,Yes,No,None,0,No,Yes,Yes,18.4,State Farm,Phone,20,N/A,7/01/2015,UW-5322,TER-IL-19,3,1
POL-351741,Policy,351741,2/3/1997,2/3/1998,OH,Active,500/1000,500K,1000K,1000,1372.18,114.35,Quarterly,31285.7,No,0,Yes,Yes,Yes,No,None,0,No,Yes,Yes,10.0,Nationwide,Agent,21,N/A,24/01/2015,UW-4998,TER-OH-43,1,1
POL-403737,Policy,403737,12/6/1991,12/6/1992,IN,Cancelled,500/1000,500K,1000K,2000,1447.77,120.65,Monthly,33153.93,No,0,Yes,No,Yes,No,None,0,No,Yes,Yes,22.5,Nationwide,Referral,21,N/A,11/01/2015,UW-8584,TER-IN-90,1,1
POL-162004,Policy,162004,9/19/1995,9/19/1996,IL,Active,250/500,250K,500K,500,903.32,75.28,Monthly,90.33,No,0,No,No,Yes,No,Rental Reimbursement|Gap Coverage|New Car Replacement,3,No,Yes,No,19.0,Allstate,Agent,0,N/A,16/01/2015,UW-4676,TER-IL-62,1,1
POL-740384,Policy,740384,10/29/1993,10/29/1994,IN,Active,500/1000,500K,1000K,1000,1454.42,121.2,Monthly,10326.38,No,0,Yes,No,Yes,Yes,Rideshare Coverage|New Car Replacement,2,No,Yes,Yes,12.3,Nationwide,Online,6,N/A,10/01/2015,UW-2870,TER-IN-75,3,1
POL-876714,Policy,876714,11/3/1991,11/3/1992,IL,Pending Renewal,100/300,100K,300K,2000,1603.42,133.62,Annual,31106.35,No,0,Yes,Yes,Yes,Yes,Rental Reimbursement|New Car Replacement|Rideshare Coverage,3,No,Yes,Yes,16.0,State Farm,Online,18,N/A,9/01/2015,UW-4928,TER-IL-48,3,1
POL-951543,Policy,951543,7/9/2002,7/9/2003,IN,Active,250/500,250K,500K,2000,1616.58,134.72,Quarterly,19075.64,No,0,Yes,No,Yes,Yes,None,0,No,No,Yes,9.1,State Farm,Agent,10,N/A,18/01/2015,UW-6509,TER-IN-74,2,1
POL-576723,Policy,576723,12/7/1999,12/7/2000,IL,Active,250/500,250K,500K,500,1611.83,134.32,Annual,35782.63,No,0,Yes,Yes,No,Yes,None,0,Yes,No,Yes,10.6,State Farm,Agent,21,N/A,20/01/2015,UW-9730,TER-IL-89,2,1
POL-391003,Policy,391003,7/1/2005,7/1/2006,OH,Active,500/1000,500K,1000K,500,889.13,74.09,Monthly,25962.6,No,0,Yes,Yes,Yes,No,Rental Reimbursement,1,No,No,Yes,24.3,Progressive,Phone,28,N/A,11/01/2015,UW-4671,TER-OH-90,2,1
POL-225865,Policy,225865,11/4/1991,11/4/1992,IL,Lapsed,250/500,250K,500K,1000,1252.08,104.34,Annual,10141.85,No,0,Yes,Yes,Yes,No,Roadside Assistance,1,Yes,Yes,Yes,0.8,Nationwide,Online,7,N/A,7/01/2015,UW-2979,TER-IL-88,1,1
POL-984948,Policy,984948,4/14/1993,4/14/1994,IL,Active,500/1000,500K,1000K,2000,995.56,82.96,Semi-Annual,33052.59,No,0,Yes,No,Yes,No,Rental Reimbursement|Rideshare Coverage|Roadside Assistance,3,Yes,No,Yes,16.6,Allstate,Agent,32,N/A,20/01/2015,UW-5203,TER-IL-26,2,1
POL-890328,Policy,890328,8/23/2009,8/23/2010,IL,Active,100/300,100K,300K,2000,1347.92,112.33,Quarterly,34237.17,No,0,Yes,Yes,Yes,No,New Car Replacement|Custom Parts,2,No,Yes,Yes,10.8,Nationwide,Agent,24,N/A,24/01/2015,UW-9191,TER-IL-97,3,1
POL-803294,Policy,803294,6/18/1993,6/18/1994,IN,Pending Renewal,100/300,100K,300K,1000,1724.09,143.67,Quarterly,39654.07,No,0,No,No,Yes,No,Rideshare Coverage|Custom Parts|Gap Coverage,3,No,Yes,Yes,18.9,State Farm,Online,22,N/A,2/01/2015,UW-8083,TER-IN-35,1,1
POL-414913,Policy,414913,7/17/2012,7/17/2013,IN,Active,250/500,250K,500K,500,1379.93,114.99,Annual,29530.5,No,0,Yes,Yes,Yes,Yes,Rental Reimbursement|Custom Parts|New Car Replacement,3,No,Yes,Yes,7.1,None - First Policy,Agent,20,N/A,11/01/2015,UW-3263,TER-IN-62,1,1
POL-414519,Policy,414519,1/25/1999,1/25/2000,IN,Active,250/500,250K,500K,1000,1554.64,129.55,Semi-Annual,10105.16,Yes,4000000,Yes,Yes,Yes,Yes,Custom Parts|New Car Replacement|Rental Reimbursement,3,Yes,Yes,Yes,3.4,None - First Policy,Agent,5,N/A,26/01/2015,UW-7816,TER-IN-83,1,1
POL-818413,Policy,818413,2/23/1990,2/23/1991,OH,Active,500/1000,500K,1000K,1000,1377.94,114.83,Semi-Annual,14881.75,No,0,Yes,No,Yes,Yes,Rental Reimbursement|Gap Coverage|Roadside Assistance,3,No,Yes,Yes,5.9,State Farm,Agent,9,N/A,27/01/2015,UW-9188,TER-OH-31,2,1
POL-487356,Policy,487356,8/30/2000,8/30/2001,IL,Active,500/1000,500K,1000K,2000,1313.33,109.44,Monthly,30994.59,No,0,Yes,Yes,Yes,No,New Car Replacement|Roadside Assistance|Gap Coverage,3,No,No,Yes,15.6,State Farm,Phone,22,N/A,18/01/2015,UW-7520,TER-IL-29,3,1
POL-159768,Policy,159768,9/3/2008,9/3/2009,IN,Active,250/500,250K,500K,500,1259.02,104.92,Annual,8939.04,No,0,Yes,Yes,Yes,Yes,Rental Reimbursement,1,No,Yes,Yes,20.3,Progressive,Agent,6,N/A,1/01/2015,UW-5747,TER-IN-81,1,1
POL-865839,Policy,865839,8/2/1991,8/2/1992,IL,Active,500/1000,500K,1000K,1000,1371.88,114.32,Annual,11523.79,No,0,No,No,No,Yes,None,0,No,No,Yes,4.0,Allstate,Agent,7,N/A,13/01/2015,UW-1168,TER-IL-44,3,1
POL-406567,Policy,406567,9/25/2001,9/25/2002,OH,Active,100/300,100K,300K,500,1399.27,116.61,Annual,11194.16,Yes,6000000,Yes,Yes,Yes,Yes,Rental Reimbursement|Custom Parts,2,No,No,Yes,7.3,Nationwide,Agent,7,N/A,10/01/2015,UW-2409,TER-OH-72,2,1
POL-623032,Policy,623032,3/11/2007,3/11/2008,IL,Active,500/1000,500K,1000K,1000,1061.98,88.5,Quarterly,10726.0,Yes,6000000,Yes,Yes,Yes,Yes,Rental Reimbursement|Gap Coverage,2,No,Yes,Yes,9.2,Progressive,Online,9,N/A,8/01/2015,UW-4101,TER-IL-71,1,1
POL-935442,Policy,935442,11/20/2010,11/20/2011,OH,Active,250/500,250K,500K,500,1365.46,113.79,Monthly,20072.26,Yes,4000000,No,No,No,No,None,0,No,Yes,Yes,24.4,None - First Policy,Agent,13,N/A,6/01/2015,UW-2308,TER-OH-71,1,1
POL-106873,Policy,106873,8/28/1998,8/28/1999,IL,Active,500/1000,500K,1000K,1000,894.4,74.53,Monthly,11806.08,No,0,Yes,No,Yes,No,None,0,Yes,Yes,Yes,4.4,State Farm,Agent,12,N/A,16/01/2015,UW-5085,TER-IL-73,2,1
POL-563878,Policy,563878,7/16/2002,7/16/2003,IN,Active,250/500,250K,500K,500,956.69,79.72,Annual,9566.9,No,0,Yes,No,No,Yes,Rideshare Coverage,1,No,No,Yes,20.4,State Farm,Agent,9,N/A,14/01/2015,UW-8535,TER-IN-65,3,1
POL-620855,Policy,620855,4/29/1990,4/29/1991,IN,Cancelled,500/1000,500K,1000K,2000,1123.89,93.66,Semi-Annual,19892.85,No,0,Yes,No,Yes,Yes,Gap Coverage,1,Yes,No,Yes,24.6,Allstate,Referral,16,N/A,8/01/2015,UW-6002,TER-IN-71,1,1
