:ID,:LABEL,vin_number,vehicle_year,vehicle_make,vehicle_model,vehicle_age_years,vehicle_primary_use,garaging_type,estimated_annual_mileage,odometer_estimate,fuel_type,transmission,body_style,color,engine_size_liters,cylinders,horsepower,curb_weight_lbs,seating_capacity,title_status,condition,market_value_usd,purchase_price_usd,purchase_date,purchase_type,financing_type,lien_holder,anti_theft_device,safety_rating_nhtsa,airbags_count,abs_brakes,backup_camera,telematics_device,commercial_use,modified_vehicle,salvage_title_history,last_inspection_date,registration_state,registration_expiry,recalls_open,vin_hash,previous_owners_count,auction_sourced_flag,import_flag,telematics_risk_score,odometer_rollback_flag,total_loss_history_count
VEH-HWH55N1MKD7PR4B7J,Vehicle,HWH55N1MKD7PR4B7J,1999,Honda,Accord,16,Rideshare,Private Garage,20000,320000,Electric,Automatic,Hatchback,Blue,2.2,6,170,3515,7,Salvage,Good,1164,48244,12/5/1999,New,Financed,Bank of America,Yes,4-Star,10,No,Yes,No,No,No,No,2/01/2014,OH,12/31/2015,1,25224db591f30011,5,No,No,0.33,No,1
VEH-FPCD0HRW78BS5LWBR,Vehicle,FPCD0HRW78BS5LWBR,2014,Mercedes,E400,1,Personal,Private Garage,18000,18000,Diesel,Automatic,Coupe,White,3.0,4,219,2639,5,Clean,Excellent,29363,26575,9/5/2014,Used,Leased,,No,3-Star,8,Yes,Yes,No,No,No,No,11/01/2014,IN,12/31/2015,1,0f6db62f1a67b38f,0,No,No,0.41,No,2
VEH-A6RSKCJKAWC4XK1MX,Vehicle,A6RSKCJKAWC4XK1MX,1997,Chevrolet,Silverado,18,Rideshare,On-Street Parking,15000,270000,Diesel,Automatic,Minivan,Gray,3.5,8,201,4799,2,Clean,Fair,500,35305,11/7/1997,New,Owned Outright,Chase Auto,No,4-Star,4,No,Yes,No,No,No,No,2/01/2014,IN,12/31/2015,0,12a296d8cd6d9238,0,No,No,0.56,No,1
VEH-HYCDA15F1U939KHG9,Vehicle,HYCDA15F1U939KHG9,2002,Volkswagen,Passat,13,Rideshare,Covered Parking Lot,25000,325000,Flex Fuel,Automatic,Coupe,Gray,1.8,8,269,3836,8,Clean,Good,6500,23769,9/28/2002,New,Owned Outright,Bank of America,Yes,4-Star,10,Yes,No,No,No,No,No,11/01/2014,OH,12/31/2015,0,0950ec73c229aa6b,1,No,No,0.56,No,0
VEH-YFRM4U5EYZ69CWC8L,Vehicle,YFRM4U5EYZ69CWC8L,1997,Dodge,Neon,18,Commute,On-Street Parking,18000,324000,Electric,Automatic,Truck,Brown,2.6,4,109,3836,4,Clean,Fair,500,28669,8/18/1997,Certified Pre-Owned,Financed,Wells Fargo Auto,No,5-Star,4,Yes,No,No,No,No,No,2/01/2014,OH,12/31/2015,3,7553eae14b42ba26,2,No,No,0.97,No,0
VEH-6V8JK6CAD6UMAD9GB,Vehicle,6V8JK6CAD6UMAD9GB,2011,Mercedes,E400,4,Commute,Covered Parking Lot,25000,100000,Hybrid,Automatic,Hatchback,Red,3.9,4,140,5122,4,Salvage,Excellent,25312,32213,7/23/2011,New,Owned Outright,Chase Auto,Yes,4-Star,2,Yes,No,Yes,No,No,No,7/01/2014,IL,12/31/2015,1,f90da15731786bc0,2,No,No,0.65,No,0
VEH-W7E19G910FJN39EPW,Vehicle,W7E19G910FJN39EPW,2012,Suburu,Legacy,3,Pleasure Only,Driveway,5000,15000,Flex Fuel,Automatic,Truck,Black,2.3,4,346,3303,5,Rebuilt,Excellent,28030,34096,1/11/2012,New,Financed,Chase Auto,No,4-Star,4,Yes,No,No,No,No,No,4/01/2014,IN,12/31/2015,3,9f72996634894553,0,No,Yes,0.04,No,0
VEH-D6M9B8C54FFL9JW6E,Vehicle,D6M9B8C54FFL9JW6E,2012,Audi,A5,3,Pleasure Only,Covered Parking Lot,12000,36000,Electric,Automatic,Coupe,Gold,4.8,8,114,2924,2,Clean,Excellent,23609,34847,6/13/2012,Certified Pre-Owned,Owned Outright,Capital One,No,3-Star,2,Yes,Yes,Yes,No,No,No,1/01/2014,OH,12/31/2015,0,a5acf140da75f3ad,0,No,No,0.38,No,0
VEH-K0A6FGJ4A3JVXNGRA,Vehicle,K0A6FGJ4A3JVXNGRA,1999,Saab,95,16,Rideshare,Private Garage,12000,192000,Hybrid,Automatic,Coupe,Orange,4.5,6,357,3916,2,Clean,Good,1139,41987,12/19/1999,Used,Owned Outright,Wells Fargo Auto,Yes,4-Star,10,No,No,No,No,No,No,11/01/2014,IL,12/31/2015,2,23b5e456fdbeffbc,5,Yes,No,0.21,No,0
VEH-51EN942MRLLYR2DDP,Vehicle,51EN942MRLLYR2DDP,2015,Toyota,Highlander,0,Business,Private Garage,18000,0,Gasoline,Automatic,Truck,Red,1.9,4,321,3771,5,Clean,Excellent,31745,29238,1/24/2015,New,Owned Outright,Chase Auto,Yes,5-Star,2,No,Yes,No,No,No,No,1/01/2014,IL,12/31/2015,0,c19c187fddf0ea82,0,No,No,0.46,No,0
VEH-Z4THC16WF4GX72RD2,Vehicle,Z4THC16WF4GX72RD2,2011,Jeep,Wrangler,4,Business,On-Street Parking,18000,72000,Hybrid,Automatic,Hatchback,Green,2.3,6,430,2526,5,Clean,Excellent,25803,15556,4/28/2011,New,Financed,,No,Not Rated,10,Yes,No,No,No,No,No,2/01/2014,IN,12/31/2015,1,7027e3b0a83091aa,3,No,No,0.72,No,0
VEH-8FVW2MF3J0LT2RPZV,Vehicle,8FVW2MF3J0LT2RPZV,2006,Jeep,Wrangler,9,Personal,Covered Parking Lot,25000,225000,Flex Fuel,Automatic,Minivan,Orange,3.5,4,369,3035,2,Salvage,Good,14569,19853,2/14/2006,Used,Leased,Chase Auto,Yes,3-Star,8,Yes,No,No,No,No,No,5/01/2014,IL,12/31/2015,3,9408e677af2402f4,2,No,Yes,0.33,No,0
VEH-NPAR2T5M8FFHBD6L1,Vehicle,NPAR2T5M8FFHBD6L1,2007,Volkswagen,Jetta,8,Rideshare,Covered Parking Lot,15000,120000,Electric,Automatic,Truck,White,5.0,8,393,3399,4,Clean,Fair,15585,18517,8/26/2007,Used,Leased,Wells Fargo Auto,Yes,3-Star,2,Yes,Yes,No,No,No,No,4/01/2014,OH,12/31/2015,2,3da57ffc15518aa7,5,No,Yes,0.25,No,0
VEH-JD117VTNRPYW2DYGB,Vehicle,JD117VTNRPYW2DYGB,2001,Dodge,Neon,14,Business,Private Garage,25000,350000,Electric,Automatic,Convertible,Blue,3.8,6,270,5033,2,Clean,Good,4251,12094,10/25/2001,Used,Financed,Chase Auto,Yes,3-Star,6,Yes,No,No,No,No,No,6/01/2014,IL,12/31/2015,3,b983c909198caf58,5,No,No,0.67,No,0
VEH-7U4SWK7SY4FN8DVM7,Vehicle,7U4SWK7SY4FN8DVM7,2014,Volkswagen,Jetta,1,Commute,On-Street Parking,10000,10000,Hybrid,Automatic,Coupe,Gray,4.9,4,439,3154,8,Salvage,Excellent,32072,13589,10/10/2014,Used,Financed,Capital One,Yes,5-Star,4,Yes,Yes,No,No,No,No,1/01/2014,IN,12/31/2015,2,55efced92d9e0e32,4,No,No,0.33,No,0
VEH-SDLH1VCY9DB2LRUUU,Vehicle,SDLH1VCY9DB2LRUUU,2002,Ford,Fusion,13,Rideshare,On-Street Parking,5000,65000,Electric,Automatic,SUV,Gray,3.7,6,223,4450,4,Clean,Excellent,6770,29737,7/3/2002,New,Financed,Capital One,Yes,4-Star,2,Yes,No,Yes,No,No,No,5/01/2014,IL,12/31/2015,0,0a933d9683527320,4,No,No,0.25,No,0
VEH-1CSZV8K1CXT18PCY1,Vehicle,1CSZV8K1CXT18PCY1,2011,Jeep,Wrangler,4,Business,Covered Parking Lot,20000,80000,Diesel,Automatic,Truck,Orange,1.6,8,189,2715,5,Clean,Excellent,23186,28996,6/18/2011,Used,Financed,Chase Auto,No,5-Star,2,Yes,No,No,No,Yes,No,8/01/2014,IN,12/31/2015,0,79dff92203246722,4,Yes,No,0.66,Yes,0
VEH-UMBTKHT5Z3A4K9526,Vehicle,UMBTKHT5Z3A4K9526,1998,Honda,Civic,17,Business,Storage Unit,15000,255000,Hybrid,Automatic,Coupe,Green,3.7,4,402,4907,4,Clean,Fair,500,43501,2/19/1998,New,Financed,Capital One,Yes,5-Star,2,Yes,No,No,No,No,No,6/01/2014,IN,12/31/2015,1,0cd4e7bfcb8f4f1b,0,No,No,0.26,No,0
VEH-FPY26RJZA4224X2MV,Vehicle,FPY26RJZA4224X2MV,2003,Volkswagen,Jetta,12,Pleasure Only,On-Street Parking,18000,216000,Gasoline,Automatic,SUV,Gray,1.5,8,180,4430,2,Salvage,Good,7562,43008,7/28/2003,Used,Financed,Capital One,Yes,5-Star,8,Yes,No,No,No,No,No,2/01/2014,IL,12/31/2015,3,679697ef847f1c9b,5,No,No,0.49,No,0
VEH-1TMPYKYDKWCH3BMYH,Vehicle,1TMPYKYDKWCH3BMYH,1998,Chevrolet,Malibu,17,Pleasure Only,Covered Parking Lot,5000,85000,Electric,Automatic,Sedan,Gold,1.8,6,207,3821,2,Clean,Fair,500,26098,12/9/1998,Used,Owned Outright,,Yes,Not Rated,6,Yes,No,No,No,No,No,11/01/2014,IN,12/31/2015,3,2724d5b0410fdc28,3,No,No,0.61,No,1
VEH-C9ABX1FN72BXN9XMR,Vehicle,C9ABX1FN72BXN9XMR,2010,Chevrolet,Silverado,5,Business,Private Garage,10000,50000,Electric,Manual,SUV,Black,4.0,6,188,4822,2,Clean,Excellent,18284,43725,7/27/2010,Used,Financed,Chase Auto,Yes,4-Star,8,Yes,No,No,No,No,No,6/01/2014,IL,12/31/2015,1,a08b8d3c430362d0,5,No,No,0.85,No,1
VEH-8FT29UXVMARYWSPJ4,Vehicle,8FT29UXVMARYWSPJ4,2006,Audi,A3,9,Business,On-Street Parking,5000,45000,Flex Fuel,Manual,Truck,Green,2.7,6,172,2542,8,Clean,Good,15298,41279,7/23/2006,New,Financed,Chase Auto,No,Not Rated,4,Yes,Yes,No,No,No,No,9/01/2014,OH,12/31/2015,3,c2f57d5bee34104b,3,No,No,0.17,No,0
VEH-BDA8V7NEKW8KR9ZXR,Vehicle,BDA8V7NEKW8KR9ZXR,1997,Dodge,Neon,18,Pleasure Only,Storage Unit,15000,270000,Gasoline,Manual,Convertible,Black,1.9,6,427,5148,7,Clean,Fair,500,20762,10/23/1997,Certified Pre-Owned,Owned Outright,Bank of America,No,4-Star,2,Yes,No,No,No,No,No,12/01/2014,IL,12/31/2015,0,5582d0f2a6bbf0f5,0,No,No,0.67,No,0
VEH-J6TH8P67B3DBSUW47,Vehicle,J6TH8P67B3DBSUW47,2009,Accura,RSX,6,Business,Storage Unit,5000,30000,Diesel,Automatic,Truck,Green,1.9,4,135,2933,7,Clean,Good,19026,34136,8/4/2009,New,Owned Outright,,No,3-Star,6,Yes,No,No,No,No,No,6/01/2014,IN,12/31/2015,0,65724693944bdc3e,2,No,No,0.44,No,0
VEH-JSECTVJG8Y7359E4R,Vehicle,JSECTVJG8Y7359E4R,2011,Chevrolet,Malibu,4,Business,Storage Unit,10000,40000,Hybrid,Automatic,Convertible,White,3.7,8,386,4123,7,Clean,Excellent,24984,35971,10/26/2011,New,Leased,Capital One,No,5-Star,6,Yes,No,No,No,No,No,12/01/2014,OH,12/31/2015,0,34ab35fc44dd0a8a,3,No,No,0.77,No,0
VEH-A631W207A4VY93TFZ,Vehicle,A631W207A4VY93TFZ,2013,Mercedes,C300,2,Rideshare,Covered Parking Lot,5000,10000,Diesel,Automatic,Sedan,Orange,4.7,4,257,3018,7,Clean,Excellent,26348,37216,1/19/2013,New,Leased,Wells Fargo Auto,Yes,Not Rated,4,Yes,Yes,No,No,No,No,5/01/2014,OH,12/31/2015,0,5f5dfba7eb10f5df,5,No,No,0.33,No,0
VEH-YKBP3E9SX7AHCBY40,Vehicle,YKBP3E9SX7AHCBY40,2007,Mercedes,C300,8,Personal,Storage Unit,7500,60000,Hybrid,Automatic,Hatchback,Black,3.2,4,228,3896,7,Clean,Good,14911,45396,10/23/2007,New,Owned Outright,Wells Fargo Auto,Yes,4-Star,2,No,No,Yes,No,No,No,4/01/2014,OH,12/31/2015,1,07a67a11c7e5b2e3,3,Yes,No,0.44,No,0
VEH-ELYUDV9RRGLTWFZDC,Vehicle,ELYUDV9RRGLTWFZDC,2009,Audi,A3,6,Pleasure Only,Driveway,20000,120000,Diesel,Manual,SUV,Black,1.9,4,256,4213,2,Rebuilt,Fair,20943,30146,8/15/2009,New,Financed,Capital One,Yes,5-Star,2,Yes,No,No,No,No,No,3/01/2014,IL,12/31/2015,3,9a2bf322adf78531,4,Yes,No,0.63,No,0
VEH-WDZLYME79YRRNFBBK,Vehicle,WDZLYME79YRRNFBBK,2010,Chevrolet,Tahoe,5,Business,Storage Unit,25000,125000,Hybrid,Automatic,Hatchback,Blue,1.6,8,290,2927,8,Clean,Excellent,21456,47274,9/21/2010,Certified Pre-Owned,Leased,,Yes,3-Star,6,Yes,No,No,No,No,No,8/01/2014,IN,12/31/2015,2,57b32a9e9fade38f,0,No,No,0.45,No,0
VEH-1L7J1RG7WGPF32FW7,Vehicle,1L7J1RG7WGPF32FW7,2003,Honda,Civic,12,Rideshare,Driveway,7500,90000,Hybrid,Automatic,Coupe,Gold,1.6,8,181,3314,8,Clean,Poor,7191,50957,5/21/2003,Used,Financed,Chase Auto,No,5-Star,4,Yes,No,No,No,No,No,2/01/2014,IN,12/31/2015,2,11bf2f5ad39e0840,0,No,No,0.07,No,0
VEH-X8M139GCNSP4JAVV8,Vehicle,X8M139GCNSP4JAVV8,2007,Honda,CRV,8,Pleasure Only,Driveway,25000,200000,Diesel,Automatic,Convertible,Green,3.8,4,416,4003,5,Clean,Excellent,13605,15587,12/5/2007,New,Financed,Bank of America,No,4-Star,10,Yes,Yes,No,No,No,No,1/01/2014,OH,12/31/2015,2,0c4226cd891fe792,2,No,No,0.51,No,0
VEH-0KD1W2ZV3RP4ANR3N,Vehicle,0KD1W2ZV3RP4ANR3N,2008,Volkswagen,Passat,7,Business,Private Garage,15000,105000,Hybrid,Automatic,Sedan,White,3.0,6,141,2522,8,Clean,Good,15030,29457,12/18/2008,New,Financed,Chase Auto,Yes,4-Star,2,No,No,No,No,Yes,No,5/01/2014,OH,12/31/2015,2,d0c9c24914656601,2,No,No,0.26,No,2
VEH-2LL8X6UP9VB2F5PJT,Vehicle,2LL8X6UP9VB2F5PJT,2001,Nissan,Maxima,14,Business,Private Garage,10000,140000,Hybrid,Manual,Convertible,Silver,1.8,4,148,5109,4,Clean,Good,4392,44339,4/21/2001,New,Owned Outright,Capital One,Yes,5-Star,4,Yes,No,No,No,No,No,1/01/2014,IN,12/31/2015,1,e359b556928c0988,0,No,Yes,0.86,No,0
VEH-4VLSM1S56S8TLDXV1,Vehicle,4VLSM1S56S8TLDXV1,2012,Mercedes,C300,3,Commute,Covered Parking Lot,15000,45000,Electric,Automatic,Truck,Brown,4.2,4,148,2785,4,Clean,Excellent,21925,18218,6/8/2012,Certified Pre-Owned,Financed,Wells Fargo Auto,Yes,4-Star,6,Yes,Yes,No,No,No,No,11/01/2014,OH,12/31/2015,1,eea4911e21947ca5,0,No,No,0.58,No,1
VEH-8Z6WF8MLTFTDW6MB1,Vehicle,8Z6WF8MLTFTDW6MB1,2015,Nissan,Maxima,0,Business,Driveway,20000,0,Hybrid,Automatic,Convertible,Orange,2.4,6,126,5430,4,Clean,Excellent,29222,46513,7/23/2015,Used,Owned Outright,Wells Fargo Auto,Yes,4-Star,2,Yes,Yes,Yes,No,No,No,9/01/2014,OH,12/31/2015,1,aee5934d1bdae687,4,No,No,0.4,No,0
VEH-NB3V6ZRKJ6D1FU79A,Vehicle,NB3V6ZRKJ6D1FU79A,2003,Chevrolet,Tahoe,12,Commute,Storage Unit,7500,90000,Electric,Automatic,SUV,White,2.5,4,150,2727,5,Clean,Poor,9011,46400,6/11/2003,Used,Financed,Bank of America,Yes,3-Star,8,Yes,No,No,No,No,No,2/01/2014,IL,12/31/2015,1,da8bb2ef28adf526,1,No,No,0.55,No,0
VEH-DDK9591PZ0PZWPS8P,Vehicle,DDK9591PZ0PZWPS8P,2006,Saab,95,9,Personal,Covered Parking Lot,18000,162000,Gasoline,Automatic,SUV,Red,5.0,8,279,3680,7,Clean,Fair,14523,25801,12/20/2006,Used,Financed,Capital One,Yes,4-Star,6,Yes,No,No,No,No,No,4/01/2014,IL,12/31/2015,0,4a61fd8e4d9132a6,2,No,No,0.96,No,2
VEH-707VPDEJ2JUEVYH5U,Vehicle,707VPDEJ2JUEVYH5U,2001,Jeep,Grand Cherokee,14,Personal,On-Street Parking,15000,210000,Flex Fuel,Automatic,SUV,White,2.7,4,331,3565,8,Clean,Fair,4307,42772,3/24/2001,Used,Financed,Bank of America,Yes,3-Star,6,Yes,No,No,No,No,No,9/01/2014,IN,12/31/2015,3,b10f359fce2f4ec3,2,No,No,0.93,No,0
VEH-0EJ4WT7HRF7S08UNT,Vehicle,0EJ4WT7HRF7S08UNT,2006,Accura,MDX,9,Business,Covered Parking Lot,20000,180000,Diesel,Automatic,Hatchback,Brown,1.6,4,212,4005,5,Clean,Excellent,14537,31081,12/8/2006,Used,Leased,Wells Fargo Auto,No,Not Rated,8,Yes,No,No,No,No,No,5/01/2014,OH,12/31/2015,1,2cdb8a5ff440bddb,2,No,No,0.32,No,0
VEH-43157FUCAK99MLDRV,Vehicle,43157FUCAK99MLDRV,2014,Honda,Civic,1,Commute,Private Garage,25000,25000,Flex Fuel,Automatic,Truck,Orange,3.1,6,229,3908,5,Clean,Excellent,24109,26344,7/9/2014,New,Owned Outright,Capital One,Yes,4-Star,6,Yes,Yes,Yes,No,No,No,8/01/2014,IL,12/31/2015,0,86008411a73509ab,3,No,No,0.15,No,0
VEH-EY6GDW58T9P1KP65C,Vehicle,EY6GDW58T9P1KP65C,1997,BMW,3 Series,18,Pleasure Only,Covered Parking Lot,10000,180000,Gasoline,Manual,Coupe,Gray,4.1,8,292,3452,5,Clean,Excellent,500,20180,7/12/1997,Certified Pre-Owned,Financed,,Yes,5-Star,2,Yes,No,No,No,No,No,3/01/2014,OH,12/31/2015,2,2a8725343f8b3731,1,No,No,0.79,No,0
VEH-TC6SP8HGWLU2SSGFS,Vehicle,TC6SP8HGWLU2SSGFS,2011,Suburu,Impreza,4,Rideshare,Storage Unit,15000,60000,Flex Fuel,Automatic,Hatchback,Brown,2.5,4,169,4272,7,Clean,Excellent,21280,16088,11/25/2011,New,Financed,Wells Fargo Auto,No,5-Star,2,Yes,No,No,No,No,No,8/01/2014,IL,12/31/2015,2,9066c2dd07ed6bf8,2,No,No,0.08,No,0
VEH-KSSLAW5R7WCUF2ZX2,Vehicle,KSSLAW5R7WCUF2ZX2,2006,Suburu,Legacy,9,Rideshare,Covered Parking Lot,12000,108000,Diesel,Automatic,Hatchback,Gold,4.3,4,217,3788,2,Clean,Poor,13370,24375,4/1/2006,New,Leased,Capital One,Yes,4-Star,6,No,No,No,No,Yes,No,3/01/2014,OH,12/31/2015,0,86455d90a7791bf9,0,No,No,0.85,No,0
VEH-K44AH34A5UMXXSHDD,Vehicle,K44AH34A5UMXXSHDD,2015,Chevrolet,Malibu,0,Personal,On-Street Parking,10000,0,Electric,Manual,Truck,Blue,4.0,8,230,2805,8,Clean,Excellent,33895,30427,2/2/2015,New,Owned Outright,,No,5-Star,6,Yes,Yes,No,No,No,No,5/01/2014,IN,12/31/2015,0,41b1a855180c60e5,3,No,No,0.57,No,0
VEH-SZTFXRUXXUH3FX3NA,Vehicle,SZTFXRUXXUH3FX3NA,2009,Chevrolet,Tahoe,6,Pleasure Only,Private Garage,7500,45000,Hybrid,Automatic,Sedan,White,2.5,8,106,2862,5,Clean,Excellent,19519,26046,10/9/2009,Certified Pre-Owned,Financed,Capital One,Yes,Not Rated,6,No,Yes,Yes,No,No,No,3/01/2014,IL,12/31/2015,3,a942e1eb188ce59a,1,No,No,0.87,No,0
VEH-195LKTV2PXJ1U7AHJ,Vehicle,195LKTV2PXJ1U7AHJ,1995,Saab,93,20,Rideshare,On-Street Parking,15000,300000,Gasoline,Automatic,Convertible,Brown,3.8,8,179,3367,5,Clean,Good,500,53001,11/2/1995,New,Owned Outright,Wells Fargo Auto,No,Not Rated,6,Yes,No,No,No,No,No,9/01/2014,IL,12/31/2015,3,6037e3726e2e295c,2,No,No,0.51,No,0
VEH-1T20LP7TM5SPKLS28,Vehicle,1T20LP7TM5SPKLS28,2011,BMW,M5,4,Business,Covered Parking Lot,5000,20000,Gasoline,CVT,Coupe,Green,2.8,8,198,3052,2,Clean,Excellent,26117,48987,1/26/2011,New,Financed,Capital One,No,Not Rated,8,Yes,No,No,No,Yes,No,10/01/2014,OH,12/31/2015,3,a8ee913b8c2508e5,0,No,No,0.2,No,0
VEH-TK09UN6FX2KXGZ6SC,Vehicle,TK09UN6FX2KXGZ6SC,1999,Ford,F150,16,Rideshare,Covered Parking Lot,15000,240000,Electric,Automatic,Coupe,Gold,1.5,6,311,5432,8,Clean,Good,1077,21876,8/9/1999,New,Leased,Bank of America,Yes,5-Star,2,No,Yes,No,No,No,No,1/01/2014,OH,12/31/2015,3,2f0c81eaddebbb8f,3,No,No,0.82,No,0
VEH-0Z9B9JDL9072V755V,Vehicle,0Z9B9JDL9072V755V,2005,Audi,A3,10,Rideshare,Driveway,20000,200000,Electric,Automatic,Convertible,Red,1.6,4,293,2632,4,Rebuilt,Poor,11622,45219,3/7/2005,Used,Owned Outright,Wells Fargo Auto,Yes,Not Rated,10,Yes,No,Yes,No,No,No,9/01/2014,OH,12/31/2015,1,73ea337121dc7944,3,No,No,0.05,No,0
VEH-DP9YYVJ0E7CSSC2WL,Vehicle,DP9YYVJ0E7CSSC2WL,2003,Mercedes,C300,12,Business,On-Street Parking,10000,120000,Hybrid,Automatic,Coupe,Red,3.2,4,120,4108,8,Rebuilt,Good,9429,54832,5/15/2003,New,Financed,Chase Auto,Yes,5-Star,2,Yes,No,No,No,No,No,4/01/2014,IN,12/31/2015,0,4c18c341aae43a72,5,Yes,No,0.71,No,0
VEH-0B564PVH0YGNPZBAZ,Vehicle,0B564PVH0YGNPZBAZ,2002,Suburu,Legacy,13,Commute,Storage Unit,12000,156000,Diesel,Automatic,Sedan,White,2.7,8,158,4678,5,Clean,Fair,7570,48007,11/4/2002,New,Leased,Bank of America,Yes,5-Star,8,Yes,Yes,Yes,No,No,No,12/01/2014,IN,12/31/2015,2,1266bda3bb5b9865,3,No,No,0.89,No,0
VEH-PNDK64FW5LUM48P42,Vehicle,PNDK64FW5LUM48P42,2015,Toyota,Corolla,0,Rideshare,On-Street Parking,10000,0,Flex Fuel,Automatic,Coupe,Gray,3.2,4,327,3634,5,Clean,Excellent,26004,20702,11/16/2015,Used,Owned Outright,Bank of America,Yes,3-Star,4,Yes,Yes,No,No,No,No,6/01/2014,OH,12/31/2015,2,6fad4bc47918f6af,2,No,No,0.51,No,0
VEH-8Z3GZF3PTR0ZE93XX,Vehicle,8Z3GZF3PTR0ZE93XX,1999,Dodge,RAM,16,Rideshare,Private Garage,5000,80000,Electric,Manual,SUV,Gold,4.8,4,289,4668,8,Salvage,Good,1180,51568,4/17/1999,Used,Leased,Bank of America,No,Not Rated,4,Yes,No,No,No,No,No,1/01/2014,IN,12/31/2015,2,10d11c269ab97c8d,5,No,No,0.2,No,0
VEH-L8FD9RW52DHZ1GL50,Vehicle,L8FD9RW52DHZ1GL50,2009,Volkswagen,Passat,6,Business,On-Street Parking,20000,120000,Electric,CVT,Coupe,Orange,1.8,6,300,3657,5,Clean,Fair,20201,28893,4/14/2009,Used,Leased,,Yes,3-Star,2,Yes,No,Yes,No,No,No,11/01/2014,OH,12/31/2015,2,8bab3f6d79e538fd,4,No,No,0.83,No,0
VEH-JWMUR7JKBBREJ7MFP,Vehicle,JWMUR7JKBBREJ7MFP,2004,Dodge,Neon,11,Business,On-Street Parking,15000,165000,Gasoline,Manual,Convertible,Orange,2.5,6,192,4223,8,Clean,Good,10934,24733,3/6/2004,Certified Pre-Owned,Financed,Wells Fargo Auto,Yes,4-Star,10,Yes,Yes,Yes,No,No,No,3/01/2014,OH,12/31/2015,1,80c28fa3c8cf6dd4,0,No,No,0.41,No,1
VEH-SVE2WLDUC2SW45E6X,Vehicle,SVE2WLDUC2SW45E6X,2009,Suburu,Legacy,6,Rideshare,Covered Parking Lot,5000,30000,Flex Fuel,Automatic,Minivan,Brown,2.9,6,248,4648,5,Clean,Poor,18797,33428,6/16/2009,New,Owned Outright,,Yes,3-Star,10,Yes,No,No,No,No,No,8/01/2014,IN,12/31/2015,0,d6381e7b755fa85c,1,No,No,0.31,No,0
VEH-SKLAX58D4CS0NB8S9,Vehicle,SKLAX58D4CS0NB8S9,2006,Audi,A3,9,Rideshare,Covered Parking Lot,15000,135000,Diesel,Automatic,SUV,Silver,2.3,8,338,5152,5,Clean,Good,13974,34655,5/16/2006,New,Owned Outright,Capital One,Yes,3-Star,4,Yes,No,Yes,No,No,No,8/01/2014,OH,12/31/2015,1,5ff36a759e810584,3,No,No,0.88,Yes,0
VEH-UFDNKN30V645UZ78H,Vehicle,UFDNKN30V645UZ78H,2008,Audi,A5,7,Pleasure Only,Covered Parking Lot,7500,52500,Electric,Automatic,Minivan,Black,3.5,6,335,4453,5,Clean,Excellent,17559,15733,4/9/2008,Used,Owned Outright,Wells Fargo Auto,Yes,Not Rated,2,Yes,No,No,No,No,No,10/01/2014,IL,12/31/2015,1,bc3f91b92920a27c,0,No,No,0.31,No,0
VEH-EPD97XZD33TAB2THF,Vehicle,EPD97XZD33TAB2THF,2004,BMW,X5,11,Rideshare,On-Street Parking,20000,220000,Diesel,Automatic,Truck,Black,1.8,8,328,4517,2,Clean,Good,10218,49193,7/10/2004,Used,Financed,Bank of America,No,Not Rated,6,Yes,No,Yes,No,No,No,3/01/2014,OH,12/31/2015,0,43903e5f08a4899a,4,Yes,No,0.15,No,0
VEH-7P4ZJ6Y50L7LVW3E2,Vehicle,7P4ZJ6Y50L7LVW3E2,1998,Saab,92x,17,Commute,Storage Unit,18000,306000,Electric,Manual,Coupe,Red,3.1,6,246,4553,5,Salvage,Excellent,500,23447,3/17/1998,New,Financed,Wells Fargo Auto,No,5-Star,10,Yes,No,No,No,No,No,9/01/2014,IL,12/31/2015,2,397e0f3a91e6ec71,4,No,No,0.31,No,0
VEH-DBH40C6TGFZXDKVNE,Vehicle,DBH40C6TGFZXDKVNE,1999,BMW,X6,16,Pleasure Only,Driveway,25000,400000,Gasoline,Automatic,SUV,Blue,2.6,4,346,5046,5,Rebuilt,Good,1101,46411,5/15/1999,Certified Pre-Owned,Leased,Capital One,Yes,5-Star,10,Yes,Yes,No,No,No,No,9/01/2014,OH,12/31/2015,2,f303dba7a787bfee,0,No,No,0.55,No,0
VEH-HCWFMK84308S9D3U8,Vehicle,HCWFMK84308S9D3U8,2009,Honda,Civic,6,Rideshare,Covered Parking Lot,25000,150000,Diesel,Automatic,Sedan,White,3.4,6,340,3539,2,Clean,Good,20388,33200,7/14/2009,Used,Leased,Capital One,No,3-Star,4,Yes,No,No,No,No,No,11/01/2014,OH,12/31/2015,0,2ae7c7aabb0ffffd,1,No,No,0.33,No,0
VEH-USTG215UF8DGV5DCJ,Vehicle,USTG215UF8DGV5DCJ,2012,Jeep,Grand Cherokee,3,Commute,On-Street Parking,18000,54000,Electric,Manual,Hatchback,Green,4.7,4,401,3583,4,Clean,Excellent,22776,49855,10/24/2012,Used,Financed,Bank of America,No,Not Rated,6,Yes,No,Yes,No,No,No,7/01/2014,OH,12/31/2015,2,4349370f86649f02,3,No,No,0.08,Yes,0
