:START_ID,:END_ID,:TYPE,priority,status,ai_score,weight,connection_strength,first_seen_date,last_seen_date,event_time,interaction_count,shared_count
CASE-602410,CLM-602410,INVESTIGATES_CLAIM,P1 - Critical,Open,0.635,0.5623,0.4925,09/01/2015,01/01/2015,09/01/2015,1,1
CASE-630226,CLM-630226,INVESTIGATES_CLAIM,P2 - High,Closed - Cleared,0.887,0.4492,0.4443,06/01/2015,03/01/2015,06/01/2015,1,1
CASE-171254,CLM-171254,INVESTIGATES_CLAIM,P3 - Medium,Closed - Cleared,0.613,0.8937,0.8926,02/01/2015,08/01/2015,02/01/2015,1,1
CASE-505969,CLM-505969,INVESTIGATES_CLAIM,P1 - Critical,Pending Evidence,0.654,0.7519,0.6543,07/01/2015,05/01/2015,07/01/2015,1,1
CASE-586367,CLM-586367,INVESTIGATES_CLAIM,P1 - Critical,Open,0.842,0.5505,0.4926,04/01/2015,04/01/2015,04/01/2015,1,1
CASE-896890,CLM-896890,INVESTIGATES_CLAIM,P3 - Medium,Open,0.794,0.7136,0.5977,03/01/2015,01/01/2015,03/01/2015,1,1
CASE-650026,CLM-650026,INVESTIGATES_CLAIM,P2 - High,Closed - Cleared,0.741,0.8963,0.7933,04/01/2015,09/01/2015,04/01/2015,1,1
CASE-547744,CLM-547744,INVESTIGATES_CLAIM,P1 - Critical,Closed - Cleared,0.579,0.624,0.6205,09/01/2015,02/01/2015,09/01/2015,1,1
CASE-598124,CLM-598124,INVESTIGATES_CLAIM,P1 - Critical,Escalated to SIU,0.789,0.7719,0.6592,02/01/2015,02/01/2015,02/01/2015,1,1
CASE-436126,CLM-436126,INVESTIGATES_CLAIM,P1 - Critical,Escalated to SIU,0.689,0.8651,0.8173,04/01/2015,03/01/2015,04/01/2015,1,1
CASE-218684,CLM-218684,INVESTIGATES_CLAIM,P3 - Medium,Under Review,0.627,0.7078,0.5788,08/01/2015,03/01/2015,08/01/2015,1,1
CASE-565564,CLM-565564,INVESTIGATES_CLAIM,P2 - High,Open,0.941,0.3988,0.3403,01/01/2015,01/01/2015,01/01/2015,1,1
CASE-743163,CLM-743163,INVESTIGATES_CLAIM,P1 - Critical,Closed - Fraud Confirmed,0.702,0.7311,0.6769,06/01/2015,03/01/2015,06/01/2015,1,1
CASE-604614,CLM-604614,INVESTIGATES_CLAIM,P1 - Critical,Open,0.877,0.5867,0.5288,08/01/2015,02/01/2015,08/01/2015,1,1
CASE-509928,CLM-509928,INVESTIGATES_CLAIM,P1 - Critical,Escalated to SIU,0.821,0.4806,0.386,05/01/2015,06/01/2015,05/01/2015,1,1
CASE-593390,CLM-593390,INVESTIGATES_CLAIM,P1 - Critical,Escalated to SIU,0.726,0.4904,0.3929,02/01/2015,02/01/2015,02/01/2015,1,1
CASE-174701,CLM-174701,INVESTIGATES_CLAIM,P1 - Critical,Open,0.725,0.6129,0.504,01/01/2015,03/01/2015,01/01/2015,1,1
CASE-529398,CLM-529398,INVESTIGATES_CLAIM,P1 - Critical,Closed - Cleared,0.671,0.5545,0.4851,04/01/2015,09/01/2015,04/01/2015,1,1
CASE-940942,CLM-940942,INVESTIGATES_CLAIM,P1 - Critical,Closed - Fraud Confirmed,0.87,0.5665,0.526,08/01/2015,06/01/2015,08/01/2015,1,1
CASE-442677,CLM-442677,INVESTIGATES_CLAIM,P3 - Medium,Under Review,0.696,0.3419,0.3184,07/01/2015,02/01/2015,07/01/2015,1,1
CASE-365364,CLM-365364,INVESTIGATES_CLAIM,P2 - High,Escalated to SIU,0.795,0.7169,0.6164,03/01/2015,04/01/2015,03/01/2015,1,1
CASE-114839,CLM-114839,INVESTIGATES_CLAIM,P2 - High,Closed - Cleared,0.781,0.6407,0.5567,03/01/2015,07/01/2015,03/01/2015,1,1
CASE-872734,CLM-872734,INVESTIGATES_CLAIM,P1 - Critical,Escalated to SIU,0.747,0.5467,0.4714,07/01/2015,09/01/2015,07/01/2015,1,1
CASE-267885,CLM-267885,INVESTIGATES_CLAIM,P1 - Critical,Open,0.871,0.526,0.4585,06/01/2015,05/01/2015,06/01/2015,1,1
CASE-740505,CLM-740505,INVESTIGATES_CLAIM,P1 - Critical,Under Review,0.844,0.3681,0.3151,05/01/2015,01/01/2015,05/01/2015,1,1
CASE-629663,CLM-629663,INVESTIGATES_CLAIM,P1 - Critical,Under Review,0.643,0.682,0.6625,02/01/2015,06/01/2015,02/01/2015,1,1
CASE-839884,CLM-839884,INVESTIGATES_CLAIM,P2 - High,Open,0.884,0.8144,0.7576,06/01/2015,05/01/2015,06/01/2015,1,1
CASE-241562,CLM-241562,INVESTIGATES_CLAIM,P1 - Critical,Open,0.689,0.5012,0.4337,03/01/2015,02/01/2015,03/01/2015,1,1
CASE-405533,CLM-405533,INVESTIGATES_CLAIM,P2 - High,Open,0.765,0.6786,0.648,06/01/2015,07/01/2015,06/01/2015,1,1
CASE-667021,CLM-667021,INVESTIGATES_CLAIM,P2 - High,Under Review,0.777,0.5424,0.4928,09/01/2015,06/01/2015,09/01/2015,1,1
CASE-511621,CLM-511621,INVESTIGATES_CLAIM,P1 - Critical,Escalated to SIU,0.764,0.3409,0.3312,04/01/2015,03/01/2015,04/01/2015,1,1
CASE-476923,CLM-476923,INVESTIGATES_CLAIM,P1 - Critical,Open,0.631,0.4684,0.4107,09/01/2015,04/01/2015,09/01/2015,1,1
CASE-735822,CLM-735822,INVESTIGATES_CLAIM,P2 - High,Escalated to SIU,0.79,0.436,0.352,06/01/2015,08/01/2015,06/01/2015,1,1
CASE-492745,CLM-492745,INVESTIGATES_CLAIM,P1 - Critical,Open,0.78,0.8104,0.7897,02/01/2015,01/01/2015,02/01/2015,1,1
CASE-130930,CLM-130930,INVESTIGATES_CLAIM,P2 - High,Pending Evidence,0.772,0.5067,0.4231,07/01/2015,01/01/2015,07/01/2015,1,1
CASE-261119,CLM-261119,INVESTIGATES_CLAIM,P1 - Critical,Closed - Cleared,0.698,0.4184,0.3677,04/01/2015,09/01/2015,04/01/2015,1,1
CASE-280709,CLM-280709,INVESTIGATES_CLAIM,P1 - Critical,Under Review,0.687,0.6991,0.6609,06/01/2015,08/01/2015,06/01/2015,1,1
CASE-898573,CLM-898573,INVESTIGATES_CLAIM,P2 - High,Escalated to SIU,0.78,0.6073,0.5885,08/01/2015,08/01/2015,08/01/2015,1,1
CASE-547802,CLM-547802,INVESTIGATES_CLAIM,P2 - High,Escalated to SIU,0.606,0.4147,0.3747,09/01/2015,08/01/2015,09/01/2015,1,1
CASE-600845,CLM-600845,INVESTIGATES_CLAIM,P1 - Critical,Closed - Fraud Confirmed,0.758,0.8276,0.7506,02/01/2015,06/01/2015,02/01/2015,1,1
CASE-629918,CLM-629918,INVESTIGATES_CLAIM,P1 - Critical,Open,0.707,0.6351,0.5387,02/01/2015,02/01/2015,02/01/2015,1,1
CASE-208298,CLM-208298,INVESTIGATES_CLAIM,P3 - Medium,Closed - Fraud Confirmed,0.663,0.801,0.7242,07/01/2015,01/01/2015,07/01/2015,1,1
CASE-513099,CLM-513099,INVESTIGATES_CLAIM,P1 - Critical,Open,0.906,0.6458,0.6309,05/01/2015,01/01/2015,05/01/2015,1,1
CASE-184938,CLM-184938,INVESTIGATES_CLAIM,P2 - High,Open,0.913,0.6516,0.5711,05/01/2015,04/01/2015,05/01/2015,1,1
CASE-187775,CLM-187775,INVESTIGATES_CLAIM,P1 - Critical,Escalated to SIU,0.808,0.8197,0.7444,07/01/2015,03/01/2015,07/01/2015,1,1
CASE-146138,CLM-146138,INVESTIGATES_CLAIM,P1 - Critical,Under Review,0.787,0.447,0.4049,07/01/2015,03/01/2015,07/01/2015,1,1
CASE-336047,CLM-336047,INVESTIGATES_CLAIM,P1 - Critical,Closed - Cleared,0.789,0.8579,0.8335,09/01/2015,07/01/2015,09/01/2015,1,1
CASE-532330,CLM-532330,INVESTIGATES_CLAIM,P1 - Critical,Closed - Fraud Confirmed,0.7,0.407,0.3837,05/01/2015,01/01/2015,05/01/2015,1,1
CASE-118137,CLM-118137,INVESTIGATES_CLAIM,P3 - Medium,Escalated to SIU,0.695,0.8909,0.8872,08/01/2015,08/01/2015,08/01/2015,1,1
CASE-212674,CLM-212674,INVESTIGATES_CLAIM,P2 - High,Escalated to SIU,0.744,0.3303,0.3073,02/01/2015,04/01/2015,02/01/2015,1,1
CASE-935596,CLM-935596,INVESTIGATES_CLAIM,P1 - Critical,Closed - Fraud Confirmed,0.769,0.6119,0.4924,04/01/2015,05/01/2015,04/01/2015,1,1
CASE-737593,CLM-737593,INVESTIGATES_CLAIM,P2 - High,Closed - Cleared,0.783,0.4991,0.4586,03/01/2015,08/01/2015,03/01/2015,1,1
CASE-812025,CLM-812025,INVESTIGATES_CLAIM,P2 - High,Open,0.919,0.8536,0.6883,01/01/2015,09/01/2015,01/01/2015,1,1
CASE-168151,CLM-168151,INVESTIGATES_CLAIM,P1 - Critical,Under Review,0.833,0.4871,0.4801,02/01/2015,05/01/2015,02/01/2015,1,1
CASE-843227,CLM-843227,INVESTIGATES_CLAIM,P2 - High,Closed - Fraud Confirmed,0.85,0.8834,0.8459,01/01/2015,04/01/2015,01/01/2015,1,1
CASE-475588,CLM-475588,INVESTIGATES_CLAIM,P1 - Critical,Escalated to SIU,0.633,0.3177,0.3001,03/01/2015,03/01/2015,03/01/2015,1,1
CASE-751905,CLM-751905,INVESTIGATES_CLAIM,P1 - Critical,Escalated to SIU,0.838,0.4052,0.3554,02/01/2015,07/01/2015,02/01/2015,1,1
CASE-226725,CLM-226725,INVESTIGATES_CLAIM,P1 - Critical,Open,0.685,0.3624,0.3081,06/01/2015,08/01/2015,06/01/2015,1,1
CASE-942504,CLM-942504,INVESTIGATES_CLAIM,P2 - High,Open,0.699,0.7064,0.5656,09/01/2015,05/01/2015,09/01/2015,1,1
CASE-889883,CLM-889883,INVESTIGATES_CLAIM,P1 - Critical,Closed - Fraud Confirmed,0.702,0.3192,0.2568,06/01/2015,09/01/2015,06/01/2015,1,1
CASE-818167,CLM-818167,INVESTIGATES_CLAIM,P1 - Critical,Under Review,0.664,0.5427,0.4349,02/01/2015,05/01/2015,02/01/2015,1,1
CASE-277767,CLM-277767,INVESTIGATES_CLAIM,P2 - High,Open,0.735,0.4509,0.4213,02/01/2015,07/01/2015,02/01/2015,1,1
CASE-842618,CLM-842618,INVESTIGATES_CLAIM,P1 - Critical,Closed - Fraud Confirmed,0.856,0.8307,0.708,09/01/2015,05/01/2015,09/01/2015,1,1
CASE-577810,CLM-577810,INVESTIGATES_CLAIM,P1 - Critical,Under Review,0.788,0.7789,0.7342,06/01/2015,04/01/2015,06/01/2015,1,1
CASE-994538,CLM-994538,INVESTIGATES_CLAIM,P1 - Critical,Closed - Cleared,0.702,0.7337,0.6052,09/01/2015,02/01/2015,09/01/2015,1,1
CASE-727792,CLM-727792,INVESTIGATES_CLAIM,P2 - High,Closed - Cleared,0.78,0.4306,0.397,02/01/2015,01/01/2015,02/01/2015,1,1
CASE-522506,CLM-522506,INVESTIGATES_CLAIM,P1 - Critical,Closed - Cleared,0.778,0.4227,0.3422,02/01/2015,04/01/2015,02/01/2015,1,1
CASE-367595,CLM-367595,INVESTIGATES_CLAIM,P2 - High,Open,0.752,0.7903,0.6455,01/01/2015,03/01/2015,01/01/2015,1,1
CASE-586104,CLM-586104,INVESTIGATES_CLAIM,P1 - Critical,Closed - Cleared,0.789,0.3895,0.3516,02/01/2015,04/01/2015,02/01/2015,1,1
CASE-424862,CLM-424862,INVESTIGATES_CLAIM,P1 - Critical,Closed - Cleared,0.574,0.3376,0.2857,05/01/2015,04/01/2015,05/01/2015,1,1
CASE-512813,CLM-512813,INVESTIGATES_CLAIM,P1 - Critical,Escalated to SIU,0.725,0.8307,0.6733,07/01/2015,09/01/2015,07/01/2015,1,1
CASE-356768,CLM-356768,INVESTIGATES_CLAIM,P1 - Critical,Closed - Fraud Confirmed,0.813,0.5639,0.4711,01/01/2015,06/01/2015,01/01/2015,1,1
CASE-330506,CLM-330506,INVESTIGATES_CLAIM,P2 - High,Open,0.798,0.7811,0.7246,03/01/2015,05/01/2015,03/01/2015,1,1
CASE-779075,CLM-779075,INVESTIGATES_CLAIM,P2 - High,Under Review,0.646,0.6434,0.5633,04/01/2015,04/01/2015,04/01/2015,1,1
CASE-987905,CLM-987905,INVESTIGATES_CLAIM,P1 - Critical,Closed - Cleared,0.698,0.5894,0.5557,06/01/2015,08/01/2015,06/01/2015,1,1
CASE-967756,CLM-967756,INVESTIGATES_CLAIM,P1 - Critical,Open,0.789,0.7958,0.6587,04/01/2015,07/01/2015,04/01/2015,1,1
CASE-830414,CLM-830414,INVESTIGATES_CLAIM,P1 - Critical,Under Review,0.782,0.3975,0.3974,06/01/2015,08/01/2015,06/01/2015,1,1
CASE-127313,CLM-127313,INVESTIGATES_CLAIM,P1 - Critical,Pending Evidence,0.795,0.3449,0.2886,07/01/2015,04/01/2015,07/01/2015,1,1
CASE-332892,CLM-332892,INVESTIGATES_CLAIM,P1 - Critical,Escalated to SIU,0.815,0.5882,0.4949,09/01/2015,01/01/2015,09/01/2015,1,1
CASE-526039,CLM-526039,INVESTIGATES_CLAIM,P1 - Critical,Closed - Cleared,0.823,0.8294,0.7458,03/01/2015,06/01/2015,03/01/2015,1,1
CASE-444422,CLM-444422,INVESTIGATES_CLAIM,P2 - High,Escalated to SIU,0.69,0.6633,0.6411,09/01/2015,09/01/2015,09/01/2015,1,1
CASE-689500,CLM-689500,INVESTIGATES_CLAIM,P1 - Critical,Closed - Fraud Confirmed,0.693,0.8562,0.7899,01/01/2015,06/01/2015,01/01/2015,1,1
CASE-806081,CLM-806081,INVESTIGATES_CLAIM,P1 - Critical,Closed - Fraud Confirmed,0.798,0.7888,0.6822,02/01/2015,09/01/2015,02/01/2015,1,1
CASE-384618,CLM-384618,INVESTIGATES_CLAIM,P1 - Critical,Open,0.788,0.7363,0.6276,05/01/2015,03/01/2015,05/01/2015,1,1
CASE-756459,CLM-756459,INVESTIGATES_CLAIM,P1 - Critical,Closed - Cleared,0.773,0.4766,0.4011,01/01/2015,02/01/2015,01/01/2015,1,1
CASE-655787,CLM-655787,INVESTIGATES_CLAIM,P1 - Critical,Under Review,0.776,0.3847,0.3783,09/01/2015,07/01/2015,09/01/2015,1,1
CASE-515698,CLM-515698,INVESTIGATES_CLAIM,P1 - Critical,Closed - Fraud Confirmed,0.779,0.8679,0.7613,02/01/2015,05/01/2015,02/01/2015,1,1
CASE-132871,CLM-132871,INVESTIGATES_CLAIM,P3 - Medium,Open,0.689,0.6658,0.5386,03/01/2015,06/01/2015,03/01/2015,1,1
CASE-714929,CLM-714929,INVESTIGATES_CLAIM,P1 - Critical,Closed - Cleared,0.791,0.3591,0.3293,04/01/2015,07/01/2015,04/01/2015,1,1
CASE-297816,CLM-297816,INVESTIGATES_CLAIM,P1 - Critical,Closed - Fraud Confirmed,0.771,0.7894,0.6726,06/01/2015,09/01/2015,06/01/2015,1,1
CASE-615047,CLM-615047,INVESTIGATES_CLAIM,P1 - Critical,Pending Evidence,0.719,0.597,0.5055,07/01/2015,03/01/2015,07/01/2015,1,1
CASE-771236,CLM-771236,INVESTIGATES_CLAIM,P2 - High,Escalated to SIU,0.732,0.5974,0.5031,04/01/2015,03/01/2015,04/01/2015,1,1
CASE-235869,CLM-235869,INVESTIGATES_CLAIM,P1 - Critical,Open,0.814,0.4605,0.4461,02/01/2015,05/01/2015,02/01/2015,1,1
CASE-931625,CLM-931625,INVESTIGATES_CLAIM,P2 - High,Closed - Cleared,0.775,0.7602,0.6331,07/01/2015,04/01/2015,07/01/2015,1,1
CASE-371635,CLM-371635,INVESTIGATES_CLAIM,P1 - Critical,Escalated to SIU,0.812,0.3485,0.3316,08/01/2015,02/01/2015,08/01/2015,1,1
CASE-427199,CLM-427199,INVESTIGATES_CLAIM,P2 - High,Open,0.801,0.5044,0.4698,07/01/2015,03/01/2015,07/01/2015,1,1
CASE-261315,CLM-261315,INVESTIGATES_CLAIM,P1 - Critical,Closed - Cleared,0.867,0.3521,0.3075,07/01/2015,02/01/2015,07/01/2015,1,1
CASE-582973,CLM-582973,INVESTIGATES_CLAIM,P1 - Critical,Open,0.756,0.5881,0.5398,01/01/2015,03/01/2015,01/01/2015,1,1
CASE-278091,CLM-278091,INVESTIGATES_CLAIM,P2 - High,Closed - Fraud Confirmed,0.529,0.5023,0.4071,03/01/2015,06/01/2015,03/01/2015,1,1
CASE-153154,CLM-153154,INVESTIGATES_CLAIM,P1 - Critical,Open,0.69,0.3119,0.299,08/01/2015,06/01/2015,08/01/2015,1,1
CASE-515217,CLM-515217,INVESTIGATES_CLAIM,P1 - Critical,Closed - Cleared,0.698,0.8599,0.8189,02/01/2015,09/01/2015,02/01/2015,1,1
CASE-860497,CLM-860497,INVESTIGATES_CLAIM,P1 - Critical,Closed - Fraud Confirmed,0.754,0.7103,0.6906,07/01/2015,09/01/2015,07/01/2015,1,1
CASE-351741,CLM-351741,INVESTIGATES_CLAIM,P1 - Critical,Under Review,0.737,0.5531,0.5488,09/01/2015,09/01/2015,09/01/2015,1,1
CASE-403737,CLM-403737,INVESTIGATES_CLAIM,P1 - Critical,Closed - Fraud Confirmed,0.834,0.3481,0.3177,03/01/2015,04/01/2015,03/01/2015,1,1
CASE-162004,CLM-162004,INVESTIGATES_CLAIM,P2 - High,Escalated to SIU,0.635,0.3863,0.3777,08/01/2015,03/01/2015,08/01/2015,1,1
CASE-740384,CLM-740384,INVESTIGATES_CLAIM,P1 - Critical,Open,0.917,0.7125,0.6796,09/01/2015,04/01/2015,09/01/2015,1,1
CASE-876714,CLM-876714,INVESTIGATES_CLAIM,P1 - Critical,Closed - Fraud Confirmed,0.796,0.6975,0.6757,09/01/2015,01/01/2015,09/01/2015,1,1
CASE-951543,CLM-951543,INVESTIGATES_CLAIM,P1 - Critical,Closed - Fraud Confirmed,0.947,0.7359,0.6029,09/01/2015,08/01/2015,09/01/2015,1,1
CASE-576723,CLM-576723,INVESTIGATES_CLAIM,P2 - High,Under Review,0.802,0.4647,0.4347,05/01/2015,09/01/2015,05/01/2015,1,1
CASE-391003,CLM-391003,INVESTIGATES_CLAIM,P2 - High,Open,0.692,0.5337,0.464,08/01/2015,02/01/2015,08/01/2015,1,1
CASE-225865,CLM-225865,INVESTIGATES_CLAIM,P2 - High,Closed - Cleared,0.844,0.3482,0.3214,09/01/2015,05/01/2015,09/01/2015,1,1
CASE-984948,CLM-984948,INVESTIGATES_CLAIM,P1 - Critical,Under Review,0.879,0.8402,0.7451,08/01/2015,02/01/2015,08/01/2015,1,1
CASE-890328,CLM-890328,INVESTIGATES_CLAIM,P1 - Critical,Escalated to SIU,0.88,0.7195,0.5965,02/01/2015,03/01/2015,02/01/2015,1,1
CASE-803294,CLM-803294,INVESTIGATES_CLAIM,P1 - Critical,Closed - Cleared,0.762,0.8843,0.7179,09/01/2015,06/01/2015,09/01/2015,1,1
CASE-414913,CLM-414913,INVESTIGATES_CLAIM,P1 - Critical,Closed - Fraud Confirmed,0.76,0.4914,0.4305,02/01/2015,08/01/2015,02/01/2015,1,1
CASE-414519,CLM-414519,INVESTIGATES_CLAIM,P2 - High,Closed - Cleared,0.601,0.6662,0.5412,04/01/2015,01/01/2015,04/01/2015,1,1
CASE-818413,CLM-818413,INVESTIGATES_CLAIM,P2 - High,Open,0.701,0.5353,0.431,09/01/2015,07/01/2015,09/01/2015,1,1
CASE-487356,CLM-487356,INVESTIGATES_CLAIM,P1 - Critical,Closed - Fraud Confirmed,0.746,0.5889,0.5373,04/01/2015,08/01/2015,04/01/2015,1,1
CASE-159768,CLM-159768,INVESTIGATES_CLAIM,P3 - Medium,Under Review,0.672,0.4658,0.4385,05/01/2015,01/01/2015,05/01/2015,1,1
CASE-865839,CLM-865839,INVESTIGATES_CLAIM,P3 - Medium,Closed - Cleared,0.754,0.5905,0.4909,08/01/2015,08/01/2015,08/01/2015,1,1
CASE-406567,CLM-406567,INVESTIGATES_CLAIM,P2 - High,Open,0.585,0.8934,0.7603,08/01/2015,08/01/2015,08/01/2015,1,1
CASE-623032,CLM-623032,INVESTIGATES_CLAIM,P1 - Critical,Open,0.86,0.4898,0.3929,01/01/2015,03/01/2015,01/01/2015,1,1
CASE-935442,CLM-935442,INVESTIGATES_CLAIM,P2 - High,Open,0.772,0.7141,0.6162,06/01/2015,05/01/2015,06/01/2015,1,1
CASE-106873,CLM-106873,INVESTIGATES_CLAIM,P1 - Critical,Escalated to SIU,0.821,0.841,0.7163,02/01/2015,05/01/2015,02/01/2015,1,1
CASE-563878,CLM-563878,INVESTIGATES_CLAIM,P1 - Critical,Pending Evidence,0.761,0.5601,0.5264,01/01/2015,06/01/2015,01/01/2015,1,1
CASE-620855,CLM-620855,INVESTIGATES_CLAIM,P2 - High,Closed - Cleared,0.767,0.6045,0.4974,05/01/2015,05/01/2015,05/01/2015,1,1
CASE-583169,CLM-583169,INVESTIGATES_CLAIM,P1 - Critical,Closed - Fraud Confirmed,0.834,0.3977,0.386,08/01/2015,08/01/2015,08/01/2015,1,1
CASE-337677,CLM-337677,INVESTIGATES_CLAIM,P1 - Critical,Closed - Cleared,0.74,0.7621,0.654,04/01/2015,06/01/2015,04/01/2015,1,1
CASE-445973,CLM-445973,INVESTIGATES_CLAIM,P1 - Critical,Closed - Fraud Confirmed,0.802,0.8086,0.7748,01/01/2015,08/01/2015,01/01/2015,1,1
CASE-421940,CLM-421940,INVESTIGATES_CLAIM,P1 - Critical,Open,0.795,0.565,0.5207,09/01/2015,02/01/2015,09/01/2015,1,1
CASE-613226,CLM-613226,INVESTIGATES_CLAIM,P1 - Critical,Under Review,0.836,0.5232,0.508,01/01/2015,02/01/2015,01/01/2015,1,1
CASE-804410,CLM-804410,INVESTIGATES_CLAIM,P2 - High,Closed - Fraud Confirmed,0.86,0.7505,0.7057,03/01/2015,04/01/2015,03/01/2015,1,1
CASE-553565,CLM-553565,INVESTIGATES_CLAIM,P1 - Critical,Escalated to SIU,0.781,0.5775,0.5122,09/01/2015,02/01/2015,09/01/2015,1,1
CASE-399524,CLM-399524,INVESTIGATES_CLAIM,P1 - Critical,Open,0.775,0.7057,0.6238,03/01/2015,06/01/2015,03/01/2015,1,1
CASE-331595,CLM-331595,INVESTIGATES_CLAIM,P1 - Critical,Closed - Cleared,0.681,0.8833,0.8333,02/01/2015,07/01/2015,02/01/2015,1,1
CASE-380067,CLM-380067,INVESTIGATES_CLAIM,P1 - Critical,Closed - Cleared,0.822,0.3738,0.3718,04/01/2015,09/01/2015,04/01/2015,1,1
CASE-701521,CLM-701521,INVESTIGATES_CLAIM,P2 - High,Open,0.643,0.3395,0.338,02/01/2015,08/01/2015,02/01/2015,1,1
CASE-360770,CLM-360770,INVESTIGATES_CLAIM,P2 - High,Under Review,0.86,0.6544,0.544,02/01/2015,04/01/2015,02/01/2015,1,1
CASE-958785,CLM-958785,INVESTIGATES_CLAIM,P1 - Critical,Closed - Fraud Confirmed,0.735,0.8804,0.7678,05/01/2015,02/01/2015,05/01/2015,1,1
CASE-797934,CLM-797934,INVESTIGATES_CLAIM,P1 - Critical,Closed - Fraud Confirmed,0.699,0.8126,0.697,09/01/2015,01/01/2015,09/01/2015,1,1
CASE-883980,CLM-883980,INVESTIGATES_CLAIM,P1 - Critical,Closed - Fraud Confirmed,0.615,0.6934,0.6693,03/01/2015,03/01/2015,03/01/2015,1,1
CASE-340614,CLM-340614,INVESTIGATES_CLAIM,P1 - Critical,Pending Evidence,0.821,0.663,0.5872,05/01/2015,05/01/2015,05/01/2015,1,1
CASE-435784,CLM-435784,INVESTIGATES_CLAIM,P1 - Critical,Under Review,0.807,0.3518,0.2844,02/01/2015,03/01/2015,02/01/2015,1,1
CASE-563837,CLM-563837,INVESTIGATES_CLAIM,P1 - Critical,Open,0.739,0.5278,0.4357,05/01/2015,07/01/2015,05/01/2015,1,1
CASE-200827,CLM-200827,INVESTIGATES_CLAIM,P1 - Critical,Open,0.573,0.7457,0.7088,04/01/2015,05/01/2015,04/01/2015,1,1
CASE-533941,CLM-533941,INVESTIGATES_CLAIM,P1 - Critical,Pending Evidence,0.907,0.3006,0.2751,01/01/2015,06/01/2015,01/01/2015,1,1
CASE-265026,CLM-265026,INVESTIGATES_CLAIM,P1 - Critical,Under Review,0.849,0.8176,0.684,05/01/2015,07/01/2015,05/01/2015,1,1
CASE-566720,CLM-566720,INVESTIGATES_CLAIM,P1 - Critical,Under Review,0.72,0.8883,0.7443,05/01/2015,04/01/2015,05/01/2015,1,1
CASE-832746,CLM-832746,INVESTIGATES_CLAIM,P1 - Critical,Escalated to SIU,0.782,0.6822,0.5812,05/01/2015,05/01/2015,05/01/2015,1,1
CASE-386690,CLM-386690,INVESTIGATES_CLAIM,P1 - Critical,Closed - Fraud Confirmed,0.594,0.3009,0.2624,07/01/2015,07/01/2015,07/01/2015,1,1
CASE-594722,CLM-594722,INVESTIGATES_CLAIM,P2 - High,Closed - Fraud Confirmed,0.658,0.4028,0.3595,08/01/2015,09/01/2015,08/01/2015,1,1
CASE-216738,CLM-216738,INVESTIGATES_CLAIM,P1 - Critical,Open,0.71,0.5631,0.5533,09/01/2015,05/01/2015,09/01/2015,1,1
CASE-369048,CLM-369048,INVESTIGATES_CLAIM,P1 - Critical,Under Review,0.79,0.8171,0.6843,05/01/2015,06/01/2015,05/01/2015,1,1
CASE-514424,CLM-514424,INVESTIGATES_CLAIM,P2 - High,Under Review,0.819,0.7649,0.7108,03/01/2015,09/01/2015,03/01/2015,1,1
CASE-954191,CLM-954191,INVESTIGATES_CLAIM,P2 - High,Pending Evidence,0.934,0.7419,0.6409,06/01/2015,04/01/2015,06/01/2015,1,1
CASE-150181,CLM-150181,INVESTIGATES_CLAIM,P1 - Critical,Open,0.661,0.4837,0.4424,07/01/2015,02/01/2015,07/01/2015,1,1
CASE-388671,CLM-388671,INVESTIGATES_CLAIM,P1 - Critical,Escalated to SIU,0.801,0.4098,0.3579,04/01/2015,01/01/2015,04/01/2015,1,1
CASE-457244,CLM-457244,INVESTIGATES_CLAIM,P1 - Critical,Under Review,0.72,0.6035,0.592,05/01/2015,01/01/2015,05/01/2015,1,1
CASE-745200,CLM-745200,INVESTIGATES_CLAIM,P1 - Critical,Escalated to SIU,0.665,0.8086,0.7383,01/01/2015,04/01/2015,01/01/2015,1,1
CASE-412703,CLM-412703,INVESTIGATES_CLAIM,P2 - High,Under Review,0.689,0.8694,0.7226,01/01/2015,06/01/2015,01/01/2015,1,1
CASE-736771,CLM-736771,INVESTIGATES_CLAIM,P2 - High,Closed - Cleared,0.752,0.3,0.2438,02/01/2015,09/01/2015,02/01/2015,1,1
CASE-347984,CLM-347984,INVESTIGATES_CLAIM,P1 - Critical,Open,0.694,0.8816,0.7904,08/01/2015,06/01/2015,08/01/2015,1,1
CASE-626074,CLM-626074,INVESTIGATES_CLAIM,P2 - High,Closed - Fraud Confirmed,0.767,0.4316,0.4201,07/01/2015,09/01/2015,07/01/2015,1,1
CASE-218109,CLM-218109,INVESTIGATES_CLAIM,P1 - Critical,Closed - Cleared,0.78,0.6271,0.5421,09/01/2015,08/01/2015,09/01/2015,1,1
CASE-999435,CLM-999435,INVESTIGATES_CLAIM,P1 - Critical,Under Review,0.864,0.6004,0.5519,04/01/2015,03/01/2015,04/01/2015,1,1
CASE-858060,CLM-858060,INVESTIGATES_CLAIM,P2 - High,Open,0.745,0.7528,0.696,04/01/2015,07/01/2015,04/01/2015,1,1
CASE-500384,CLM-500384,INVESTIGATES_CLAIM,P1 - Critical,Closed - Cleared,0.846,0.552,0.4922,05/01/2015,04/01/2015,05/01/2015,1,1
CASE-903785,CLM-903785,INVESTIGATES_CLAIM,P2 - High,Open,0.744,0.7699,0.6772,06/01/2015,03/01/2015,06/01/2015,1,1
