:ID,:LABEL,entity_id,entity_type,degree_centrality,betweenness_centrality,pagerank_score,community_id,ring_suspicion_score,neighbor_fraud_rate,hop_2_fraud_count,shared_entity_count,claim_velocity_score,network_repeat_score,closed_loop_flag,cross_role_flag,computed_at
NF-CLM-343421,NetworkFeature,CLM-343421,Claim,0.25,0.3717,0.2346,,0.065,0.258,1,0,0.32,0.18,No,No,2015-03-01
NF-CLM-413192,NetworkFeature,CLM-413192,Claim,0.4,0.2106,0.5,,0.0,0.016,3,3,0.39,0.21,No,No,2015-03-01
NF-CLM-247801,NetworkFeature,CLM-247801,Claim,0.35,0.0627,0.8623,,0.334,0.533,1,3,0.55,0.66,No,No,2015-03-01
NF-CLM-171147,NetworkFeature,CLM-171147,Claim,0.35,0.2179,0.4863,,0.23,0.178,0,0,0.34,0.09,No,No,2015-03-01
NF-CLM-431283,NetworkFeature,CLM-431283,Claim,0.3,0.4158,0.907,RING-009,0.79,0.823,6,3,0.66,0.6,No,No,2015-03-01
NF-CLM-461962,NetworkFeature,CLM-461962,Claim,0.25,0.3478,0.4391,,0.32,0.233,0,1,0.25,0.4,No,No,2015-03-01
NF-CLM-149467,NetworkFeature,CLM-149467,Claim,0.25,0.0724,0.3254,,0.048,0.04,0,3,0.03,0.39,No,No,2015-03-01
NF-CLM-758740,NetworkFeature,CLM-758740,Claim,0.2,0.2613,0.1424,,0.024,0.298,2,1,0.15,0.26,No,No,2015-03-01
NF-CLM-628337,NetworkFeature,CLM-628337,Claim,0.2,0.0289,0.4261,,0.194,0.227,1,3,0.14,0.45,No,No,2015-03-01
NF-CLM-574637,NetworkFeature,CLM-574637,Claim,0.25,0.1938,0.3811,,0.204,0.205,0,3,0.14,0.29,No,No,2015-03-01
NF-CLM-373600,NetworkFeature,CLM-373600,Claim,0.35,0.1219,0.1302,,0.282,0.097,2,1,0.08,0.19,No,No,2015-03-01
NF-CLM-930032,NetworkFeature,CLM-930032,Claim,0.25,0.3375,0.3414,,0.259,0.211,1,2,0.11,0.46,No,No,2015-03-01
NF-CLM-396590,NetworkFeature,CLM-396590,Claim,0.25,0.3706,0.5712,RING-016,0.924,0.615,6,2,0.85,0.63,No,No,2015-03-01
NF-CLM-238412,NetworkFeature,CLM-238412,Claim,0.35,0.3914,0.3503,,0.255,0.289,1,0,0.12,0.14,No,No,2015-03-01
NF-CLM-484321,NetworkFeature,CLM-484321,Claim,0.2,0.1406,0.3706,,0.087,0.266,2,3,0.19,0.41,No,No,2015-03-01
NF-CLM-795847,NetworkFeature,CLM-795847,Claim,0.15,0.1317,0.3876,,0.018,0.298,2,2,0.22,0.13,No,No,2015-03-01
NF-CLM-218456,NetworkFeature,CLM-218456,Claim,0.15,0.1891,0.8559,,0.2,0.879,0,2,0.92,0.69,No,No,2015-03-01
NF-CLM-792673,NetworkFeature,CLM-792673,Claim,0.3,0.1557,0.2516,,0.389,0.193,0,1,0.1,0.01,No,No,2015-03-01
NF-CLM-662256,NetworkFeature,CLM-662256,Claim,0.35,0.4198,0.6072,RING-013,0.574,0.443,3,8,0.67,0.79,No,Yes,2015-03-01
NF-CLM-971338,NetworkFeature,CLM-971338,Claim,0.2,0.4472,0.7476,RING-004,0.589,0.476,3,7,0.75,0.68,Yes,No,2015-03-01
NF-CLM-714738,NetworkFeature,CLM-714738,Claim,0.3,0.491,0.6849,RING-001,0.911,0.408,3,8,0.72,0.78,No,No,2015-03-01
NF-CLM-753844,NetworkFeature,CLM-753844,Claim,0.3,0.7061,0.7109,RING-020,0.955,0.601,4,2,0.96,0.6,Yes,No,2015-03-01
NF-CLM-976645,NetworkFeature,CLM-976645,Claim,0.35,0.097,0.3672,,0.241,0.173,2,2,0.3,0.02,No,No,2015-03-01
NF-CLM-918037,NetworkFeature,CLM-918037,Claim,0.25,0.068,0.1751,,0.398,0.113,3,1,0.11,0.4,No,No,2015-03-01
NF-CLM-996253,NetworkFeature,CLM-996253,Claim,0.3,0.4565,0.7494,RING-016,0.808,0.698,8,8,0.68,0.86,No,No,2015-03-01
NF-CLM-373731,NetworkFeature,CLM-373731,Claim,0.1,0.218,0.0601,,0.037,0.286,3,2,0.31,0.26,No,No,2015-03-01
NF-CLM-836272,NetworkFeature,CLM-836272,Claim,0.15,0.2206,0.2993,,0.35,0.058,3,1,0.33,0.37,No,No,2015-03-01
NF-CLM-167231,NetworkFeature,CLM-167231,Claim,0.3,0.3254,0.4732,,0.334,0.142,2,1,0.22,0.01,No,No,2015-03-01
NF-CLM-743330,NetworkFeature,CLM-743330,Claim,0.2,0.1494,0.0699,,0.396,0.092,2,3,0.35,0.44,No,No,2015-03-01
NF-CLM-807369,NetworkFeature,CLM-807369,Claim,0.25,0.296,0.1887,,0.288,0.265,0,0,0.2,0.16,No,No,2015-03-01
NF-CLM-735307,NetworkFeature,CLM-735307,Claim,0.4,0.1184,0.1942,,0.004,0.133,3,3,0.28,0.37,No,No,2015-03-01
NF-CLM-789208,NetworkFeature,CLM-789208,Claim,0.2,0.0443,0.9993,,0.35,0.499,2,6,0.7,0.9,No,No,2015-03-01
NF-CLM-585324,NetworkFeature,CLM-585324,Claim,0.1,0.1954,0.3624,,0.285,0.22,3,0,0.23,0.44,No,No,2015-03-01
NF-CLM-498759,NetworkFeature,CLM-498759,Claim,0.4,0.2573,0.0479,,0.072,0.297,1,2,0.23,0.41,No,No,2015-03-01
NF-CLM-795004,NetworkFeature,CLM-795004,Claim,0.35,0.0241,0.4007,,0.308,0.293,2,1,0.07,0.09,No,No,2015-03-01
NF-CLM-203250,NetworkFeature,CLM-203250,Claim,0.35,0.276,0.1232,,0.059,0.191,1,0,0.24,0.0,No,No,2015-03-01
NF-CLM-430794,NetworkFeature,CLM-430794,Claim,0.4,0.7221,0.6636,RING-020,0.573,0.799,6,7,0.56,0.72,No,No,2015-03-01
NF-CLM-156636,NetworkFeature,CLM-156636,Claim,0.25,0.1805,0.4014,,0.204,0.251,1,0,0.12,0.19,No,No,2015-03-01
NF-CLM-284143,NetworkFeature,CLM-284143,Claim,0.3,0.349,0.2571,,0.064,0.074,3,2,0.01,0.19,No,No,2015-03-01
NF-CLM-740518,NetworkFeature,CLM-740518,Claim,0.15,0.34,0.2309,,0.121,0.015,1,0,0.33,0.08,No,No,2015-03-01
NF-CLM-445289,NetworkFeature,CLM-445289,Claim,0.15,0.8646,0.8333,RING-016,0.861,0.471,10,3,0.83,0.53,No,No,2015-03-01
NF-CLM-599262,NetworkFeature,CLM-599262,Claim,0.2,0.3606,0.4263,,0.205,0.201,3,1,0.36,0.28,No,No,2015-03-01
NF-CLM-357949,NetworkFeature,CLM-357949,Claim,0.3,0.397,0.1503,,0.096,0.201,2,0,0.02,0.37,No,No,2015-03-01
NF-CLM-493161,NetworkFeature,CLM-493161,Claim,0.35,0.0682,0.4198,,0.302,0.112,3,0,0.22,0.16,No,No,2015-03-01
NF-CLM-320251,NetworkFeature,CLM-320251,Claim,0.15,0.0801,0.3331,,0.069,0.152,1,3,0.31,0.24,No,No,2015-03-01
NF-CLM-231127,NetworkFeature,CLM-231127,Claim,0.15,0.3757,0.099,,0.044,0.095,3,3,0.39,0.0,No,No,2015-03-01
NF-CLM-766193,NetworkFeature,CLM-766193,Claim,0.25,0.5606,0.7655,RING-012,0.553,0.593,8,7,0.9,0.52,No,Yes,2015-03-01
NF-CLM-555374,NetworkFeature,CLM-555374,Claim,0.15,0.2318,0.0188,,0.334,0.134,3,2,0.11,0.02,No,No,2015-03-01
NF-CLM-491484,NetworkFeature,CLM-491484,Claim,0.3,0.0933,0.1373,,0.199,0.086,2,2,0.36,0.23,No,No,2015-03-01
NF-CLM-925128,NetworkFeature,CLM-925128,Claim,0.25,0.0723,0.1783,,0.243,0.116,3,0,0.02,0.42,No,No,2015-03-01
NF-CLM-265093,NetworkFeature,CLM-265093,Claim,0.15,0.3514,0.3414,,0.173,0.061,0,0,0.15,0.12,No,No,2015-03-01
NF-CLM-267808,NetworkFeature,CLM-267808,Claim,0.1,0.2314,0.4437,,0.055,0.12,2,3,0.1,0.45,No,No,2015-03-01
NF-CLM-116735,NetworkFeature,CLM-116735,Claim,0.15,0.2145,0.3273,,0.106,0.236,3,3,0.23,0.12,No,No,2015-03-01
NF-CLM-963680,NetworkFeature,CLM-963680,Claim,0.2,0.2045,0.3789,,0.285,0.14,2,0,0.33,0.07,No,No,2015-03-01
NF-CLM-445694,NetworkFeature,CLM-445694,Claim,0.2,0.2155,0.2555,,0.381,0.08,1,3,0.24,0.42,No,No,2015-03-01
NF-CLM-215534,NetworkFeature,CLM-215534,Claim,0.2,0.3342,0.6003,,0.062,0.709,3,5,0.53,0.73,No,No,2015-03-01
NF-CLM-232854,NetworkFeature,CLM-232854,Claim,0.2,0.3185,0.2643,,0.255,0.293,2,3,0.14,0.2,No,No,2015-03-01
NF-CLM-168260,NetworkFeature,CLM-168260,Claim,0.4,0.1135,0.3167,,0.058,0.071,1,1,0.37,0.37,No,No,2015-03-01
NF-CLM-538955,NetworkFeature,CLM-538955,Claim,0.4,0.222,0.2637,,0.251,0.191,3,0,0.06,0.25,No,No,2015-03-01
NF-CLM-243226,NetworkFeature,CLM-243226,Claim,0.2,0.6461,0.6315,RING-007,0.971,0.453,9,8,0.85,0.68,No,No,2015-03-01
NF-CLM-246435,NetworkFeature,CLM-246435,Claim,0.25,0.3656,0.4864,,0.015,0.044,0,0,0.36,0.01,No,No,2015-03-01
NF-CLM-582480,NetworkFeature,CLM-582480,Claim,0.2,0.2204,0.2675,,0.274,0.183,3,0,0.34,0.14,No,No,2015-03-01
NF-CLM-345539,NetworkFeature,CLM-345539,Claim,0.35,0.3523,0.4396,,0.296,0.011,2,2,0.31,0.33,No,No,2015-03-01
NF-CLM-924318,NetworkFeature,CLM-924318,Claim,0.4,0.0993,0.2548,,0.11,0.141,0,3,0.08,0.22,No,No,2015-03-01
NF-CLM-726880,NetworkFeature,CLM-726880,Claim,0.3,0.084,0.1286,,0.351,0.25,0,0,0.21,0.3,No,No,2015-03-01
NF-CLM-190588,NetworkFeature,CLM-190588,Claim,0.25,0.3395,0.4027,,0.02,0.212,0,3,0.05,0.09,No,No,2015-03-01
NF-CLM-246705,NetworkFeature,CLM-246705,Claim,0.15,0.3839,0.1883,,0.272,0.053,0,2,0.21,0.3,No,No,2015-03-01
NF-CLM-619589,NetworkFeature,CLM-619589,Claim,0.1,0.3901,0.179,,0.399,0.152,0,3,0.05,0.46,No,No,2015-03-01
NF-CLM-164988,NetworkFeature,CLM-164988,Claim,0.25,0.008,0.1203,,0.025,0.041,0,3,0.38,0.04,No,No,2015-03-01
NF-CLM-729534,NetworkFeature,CLM-729534,Claim,0.2,0.3968,0.485,,0.245,0.174,0,1,0.01,0.43,No,No,2015-03-01
NF-CLM-505014,NetworkFeature,CLM-505014,Claim,0.25,0.3589,0.148,,0.254,0.062,1,3,0.08,0.26,No,No,2015-03-01
NF-CLM-920826,NetworkFeature,CLM-920826,Claim,0.25,0.0902,0.6761,,0.167,0.869,0,8,0.56,0.77,Yes,Yes,2015-03-01
NF-CLM-534982,NetworkFeature,CLM-534982,Claim,0.3,0.0817,0.1055,,0.053,0.217,3,3,0.12,0.15,No,No,2015-03-01
NF-CLM-110408,NetworkFeature,CLM-110408,Claim,0.25,0.2679,0.0586,,0.141,0.14,3,2,0.06,0.18,No,No,2015-03-01
NF-CLM-283052,NetworkFeature,CLM-283052,Claim,0.45,0.2917,0.2283,,0.007,0.222,3,1,0.12,0.16,No,No,2015-03-01
NF-CLM-840806,NetworkFeature,CLM-840806,Claim,0.25,0.1936,0.3612,,0.392,0.248,1,2,0.02,0.48,No,No,2015-03-01
NF-CLM-382394,NetworkFeature,CLM-382394,Claim,0.3,0.2091,0.3245,,0.263,0.294,3,2,0.14,0.3,No,No,2015-03-01
NF-CLM-876699,NetworkFeature,CLM-876699,Claim,0.25,0.4579,0.6012,RING-011,0.868,0.896,9,4,1.0,0.71,No,No,2015-03-01
NF-CLM-871432,NetworkFeature,CLM-871432,Claim,0.3,0.0893,0.0597,,0.164,0.177,2,2,0.11,0.48,No,No,2015-03-01
NF-CLM-379882,NetworkFeature,CLM-379882,Claim,0.15,0.0829,0.4546,,0.319,0.178,0,3,0.22,0.49,No,No,2015-03-01
NF-CLM-852002,NetworkFeature,CLM-852002,Claim,0.35,0.7369,0.5548,RING-013,0.58,0.523,6,5,0.53,0.97,Yes,Yes,2015-03-01
NF-CLM-372891,NetworkFeature,CLM-372891,Claim,0.25,0.3898,0.0687,,0.131,0.153,1,2,0.03,0.45,No,No,2015-03-01
NF-CLM-689034,NetworkFeature,CLM-689034,Claim,0.3,0.0099,0.4941,,0.366,0.17,3,1,0.29,0.37,No,No,2015-03-01
NF-CLM-743092,NetworkFeature,CLM-743092,Claim,0.35,0.2309,0.3787,,0.033,0.159,1,3,0.34,0.02,No,No,2015-03-01
NF-CLM-599174,NetworkFeature,CLM-599174,Claim,0.4,0.3678,0.3771,,0.196,0.229,1,1,0.33,0.2,No,No,2015-03-01
NF-CLM-421092,NetworkFeature,CLM-421092,Claim,0.15,0.3507,0.3208,,0.296,0.177,0,3,0.25,0.43,No,No,2015-03-01
NF-CLM-349658,NetworkFeature,CLM-349658,Claim,0.1,0.3275,0.6531,RING-001,0.677,0.604,4,7,0.92,0.89,No,No,2015-03-01
NF-CLM-811042,NetworkFeature,CLM-811042,Claim,0.4,0.1404,0.3507,,0.193,0.111,0,0,0.05,0.37,No,No,2015-03-01
NF-CLM-505316,NetworkFeature,CLM-505316,Claim,0.35,0.2298,0.4121,,0.236,0.038,2,3,0.11,0.24,No,No,2015-03-01
NF-CLM-116645,NetworkFeature,CLM-116645,Claim,0.2,0.4381,0.5604,RING-010,0.631,0.573,5,5,0.6,0.98,Yes,No,2015-03-01
NF-CLM-950880,NetworkFeature,CLM-950880,Claim,0.3,0.3328,0.4565,,0.257,0.199,3,0,0.35,0.37,No,No,2015-03-01
NF-CLM-788502,NetworkFeature,CLM-788502,Claim,0.2,0.0017,0.2423,,0.389,0.005,0,2,0.06,0.07,No,No,2015-03-01
NF-CLM-627486,NetworkFeature,CLM-627486,Claim,0.25,0.2761,0.0444,,0.306,0.082,1,1,0.14,0.08,No,No,2015-03-01
NF-CLM-498842,NetworkFeature,CLM-498842,Claim,0.15,0.2685,0.2056,,0.158,0.209,1,0,0.02,0.01,No,No,2015-03-01
NF-CLM-550294,NetworkFeature,CLM-550294,Claim,0.2,0.4083,0.7868,RING-013,0.904,0.419,7,3,0.75,0.6,No,No,2015-03-01
NF-CLM-328387,NetworkFeature,CLM-328387,Claim,0.3,0.117,0.0605,,0.378,0.163,1,3,0.33,0.05,No,No,2015-03-01
NF-CLM-540152,NetworkFeature,CLM-540152,Claim,0.25,0.2765,0.0771,,0.174,0.127,2,2,0.36,0.31,No,No,2015-03-01
NF-CLM-385932,NetworkFeature,CLM-385932,Claim,0.2,0.8189,0.9502,RING-003,0.616,0.809,10,4,0.69,0.76,No,No,2015-03-01
NF-CLM-618682,NetworkFeature,CLM-618682,Claim,0.35,0.3876,0.2645,,0.171,0.138,3,0,0.12,0.06,No,No,2015-03-01
NF-CLM-550930,NetworkFeature,CLM-550930,Claim,0.35,0.2384,0.3478,,0.044,0.066,3,1,0.02,0.3,No,No,2015-03-01
NF-CLM-998192,NetworkFeature,CLM-998192,Claim,0.15,0.4669,0.6573,RING-009,0.87,0.553,6,8,0.8,0.67,No,Yes,2015-03-01
NF-CLM-663938,NetworkFeature,CLM-663938,Claim,0.25,0.0258,0.0587,,0.2,0.252,1,0,0.36,0.35,No,No,2015-03-01
NF-CLM-756870,NetworkFeature,CLM-756870,Claim,0.2,0.2732,0.182,,0.25,0.256,0,2,0.37,0.14,No,No,2015-03-01
NF-CLM-337158,NetworkFeature,CLM-337158,Claim,0.15,0.597,0.7268,RING-001,0.849,0.73,9,2,0.72,0.63,Yes,Yes,2015-03-01
NF-CLM-919875,NetworkFeature,CLM-919875,Claim,0.35,0.2917,0.394,,0.033,0.141,2,1,0.29,0.31,No,No,2015-03-01
NF-CLM-315631,NetworkFeature,CLM-315631,Claim,0.15,0.0002,0.4822,,0.385,0.057,1,1,0.29,0.44,No,No,2015-03-01
NF-CLM-113464,NetworkFeature,CLM-113464,Claim,0.35,0.2513,0.3966,,0.043,0.029,3,1,0.13,0.28,No,No,2015-03-01
NF-CLM-556415,NetworkFeature,CLM-556415,Claim,0.25,0.0181,0.0481,,0.103,0.271,0,3,0.22,0.28,No,No,2015-03-01
NF-CLM-250249,NetworkFeature,CLM-250249,Claim,0.3,0.243,0.3813,,0.16,0.276,2,0,0.16,0.39,No,No,2015-03-01
NF-CLM-403776,NetworkFeature,CLM-403776,Claim,0.35,0.1316,0.6653,,0.298,0.55,2,7,0.59,0.9,No,No,2015-03-01
NF-CLM-396002,NetworkFeature,CLM-396002,Claim,0.15,0.2896,0.1275,,0.165,0.12,0,3,0.03,0.06,No,No,2015-03-01
NF-CLM-976908,NetworkFeature,CLM-976908,Claim,0.4,0.3335,0.1711,,0.043,0.087,3,0,0.35,0.06,No,No,2015-03-01
NF-CLM-509489,NetworkFeature,CLM-509489,Claim,0.25,0.1035,0.0362,,0.254,0.163,2,0,0.34,0.08,No,No,2015-03-01
NF-CLM-485295,NetworkFeature,CLM-485295,Claim,0.25,0.2204,0.0913,,0.218,0.293,2,0,0.27,0.14,No,No,2015-03-01
NF-CLM-361829,NetworkFeature,CLM-361829,Claim,0.3,0.3223,0.3855,,0.361,0.015,2,3,0.37,0.29,No,No,2015-03-01
NF-CLM-603632,NetworkFeature,CLM-603632,Claim,0.35,0.055,0.5047,,0.185,0.891,2,7,0.75,0.67,No,No,2015-03-01
NF-CLM-783494,NetworkFeature,CLM-783494,Claim,0.25,0.6071,0.7677,RING-003,0.557,0.839,10,3,0.61,0.98,Yes,No,2015-03-01
NF-CLM-439049,NetworkFeature,CLM-439049,Claim,0.25,0.014,0.2192,,0.082,0.046,2,2,0.19,0.49,No,No,2015-03-01
NF-CLM-502634,NetworkFeature,CLM-502634,Claim,0.2,0.387,0.2161,,0.349,0.151,2,1,0.05,0.19,No,No,2015-03-01
NF-CLM-378588,NetworkFeature,CLM-378588,Claim,0.2,0.3646,0.9142,,0.078,0.875,3,5,0.88,0.93,No,No,2015-03-01
NF-CLM-794731,NetworkFeature,CLM-794731,Claim,0.3,0.3524,0.4968,,0.286,0.036,3,1,0.24,0.22,No,No,2015-03-01
NF-CLM-641934,NetworkFeature,CLM-641934,Claim,0.4,0.1713,0.8629,,0.382,0.672,3,7,0.62,0.53,No,No,2015-03-01
NF-CLM-113516,NetworkFeature,CLM-113516,Claim,0.25,0.1292,0.3399,,0.202,0.182,0,3,0.17,0.36,No,No,2015-03-01
NF-CLM-425631,NetworkFeature,CLM-425631,Claim,0.25,0.0351,0.4593,,0.06,0.07,3,2,0.25,0.09,No,No,2015-03-01
NF-CLM-542245,NetworkFeature,CLM-542245,Claim,0.3,0.1094,0.3358,,0.32,0.027,3,2,0.4,0.44,No,No,2015-03-01
NF-CLM-512894,NetworkFeature,CLM-512894,Claim,0.15,0.3955,0.2501,,0.126,0.042,0,1,0.21,0.36,No,No,2015-03-01
NF-CLM-633090,NetworkFeature,CLM-633090,Claim,0.25,0.3183,0.2408,,0.159,0.231,2,2,0.27,0.48,No,No,2015-03-01
NF-CLM-464234,NetworkFeature,CLM-464234,Claim,0.25,0.2673,0.4753,,0.037,0.168,1,3,0.27,0.16,No,No,2015-03-01
NF-CLM-290162,NetworkFeature,CLM-290162,Claim,0.35,0.02,0.0926,,0.077,0.265,3,2,0.39,0.3,No,No,2015-03-01
NF-CLM-638155,NetworkFeature,CLM-638155,Claim,0.3,0.6674,0.8584,RING-012,0.627,0.597,8,8,0.69,0.92,No,Yes,2015-03-01
NF-CLM-911429,NetworkFeature,CLM-911429,Claim,0.4,0.342,0.3697,,0.394,0.046,0,3,0.09,0.45,No,No,2015-03-01
NF-CLM-106186,NetworkFeature,CLM-106186,Claim,0.3,0.043,0.1409,,0.184,0.024,2,0,0.33,0.15,No,No,2015-03-01
NF-CLM-311783,NetworkFeature,CLM-311783,Claim,0.2,0.3432,0.4229,,0.051,0.183,2,2,0.07,0.01,No,No,2015-03-01
NF-CLM-528385,NetworkFeature,CLM-528385,Claim,0.15,0.3416,0.6417,,0.107,0.77,0,2,0.63,0.85,No,No,2015-03-01
NF-CLM-228403,NetworkFeature,CLM-228403,Claim,0.2,0.1764,0.1145,,0.009,0.295,1,1,0.17,0.08,No,No,2015-03-01
NF-CLM-209177,NetworkFeature,CLM-209177,Claim,0.15,0.3738,0.9131,RING-007,0.894,0.716,4,4,0.73,0.76,No,Yes,2015-03-01
NF-CLM-497929,NetworkFeature,CLM-497929,Claim,0.3,0.3101,0.1921,,0.066,0.135,3,3,0.01,0.27,No,No,2015-03-01
NF-CLM-735844,NetworkFeature,CLM-735844,Claim,0.2,0.1519,0.3483,,0.1,0.117,0,1,0.31,0.2,No,No,2015-03-01
NF-CLM-710741,NetworkFeature,CLM-710741,Claim,0.2,0.1157,0.3597,,0.116,0.09,0,1,0.13,0.32,No,No,2015-03-01
NF-CLM-276804,NetworkFeature,CLM-276804,Claim,0.1,0.7848,0.96,RING-018,0.518,0.829,5,3,0.54,0.76,Yes,No,2015-03-01
NF-CLM-507545,NetworkFeature,CLM-507545,Claim,0.3,0.3215,0.0503,,0.39,0.154,3,0,0.26,0.38,No,No,2015-03-01
NF-CLM-485642,NetworkFeature,CLM-485642,Claim,0.35,0.3959,0.0559,,0.221,0.032,3,2,0.29,0.46,No,No,2015-03-01
NF-CLM-796375,NetworkFeature,CLM-796375,Claim,0.3,0.3184,0.6168,,0.018,0.546,3,6,0.67,0.84,Yes,No,2015-03-01
NF-CLM-171183,NetworkFeature,CLM-171183,Claim,0.1,0.2148,0.4974,,0.322,0.053,2,2,0.17,0.39,No,No,2015-03-01
NF-CLM-110084,NetworkFeature,CLM-110084,Claim,0.3,0.3453,0.8628,,0.225,0.622,0,6,0.64,0.93,No,No,2015-03-01
NF-CLM-714784,NetworkFeature,CLM-714784,Claim,0.25,0.1611,0.4163,,0.014,0.034,2,1,0.38,0.09,No,No,2015-03-01
NF-CLM-143924,NetworkFeature,CLM-143924,Claim,0.25,0.2057,0.0291,,0.294,0.104,3,1,0.27,0.38,No,No,2015-03-01
NF-CLM-996850,NetworkFeature,CLM-996850,Claim,0.1,0.0462,0.1888,,0.05,0.145,3,2,0.33,0.37,No,No,2015-03-01
NF-CLM-284834,NetworkFeature,CLM-284834,Claim,0.25,0.2848,0.4708,,0.081,0.156,3,0,0.4,0.08,No,No,2015-03-01
NF-CLM-830878,NetworkFeature,CLM-830878,Claim,0.05,0.0145,0.4379,,0.057,0.205,0,2,0.39,0.21,No,No,2015-03-01
NF-CLM-270208,NetworkFeature,CLM-270208,Claim,0.25,0.2061,0.086,,0.152,0.247,3,2,0.01,0.27,No,No,2015-03-01
NF-CLM-407958,NetworkFeature,CLM-407958,Claim,0.2,0.3719,0.4205,,0.242,0.268,3,2,0.12,0.05,No,No,2015-03-01
NF-CLM-832300,NetworkFeature,CLM-832300,Claim,0.15,0.1756,0.2311,,0.184,0.219,1,1,0.33,0.27,No,No,2015-03-01
NF-CLM-927205,NetworkFeature,CLM-927205,Claim,0.2,0.1209,0.4737,,0.203,0.001,2,1,0.29,0.13,No,No,2015-03-01
NF-CLM-655356,NetworkFeature,CLM-655356,Claim,0.4,0.3525,0.4772,,0.356,0.176,0,3,0.09,0.33,No,No,2015-03-01
NF-CLM-831053,NetworkFeature,CLM-831053,Claim,0.35,0.3205,0.0613,,0.036,0.129,2,0,0.35,0.28,No,No,2015-03-01
NF-CLM-432740,NetworkFeature,CLM-432740,Claim,0.15,0.0744,0.1358,,0.121,0.055,3,2,0.3,0.34,No,No,2015-03-01
NF-CLM-893853,NetworkFeature,CLM-893853,Claim,0.25,0.2522,0.3007,,0.249,0.046,0,2,0.35,0.23,No,No,2015-03-01
NF-CLM-594988,NetworkFeature,CLM-594988,Claim,0.35,0.3585,0.7445,,0.045,0.532,2,4,0.58,0.8,No,No,2015-03-01
NF-CLM-979544,NetworkFeature,CLM-979544,Claim,0.25,0.0142,0.4502,,0.354,0.28,0,1,0.29,0.45,No,No,2015-03-01
NF-CLM-191891,NetworkFeature,CLM-191891,Claim,0.2,0.2102,0.0109,,0.256,0.203,1,0,0.2,0.2,No,No,2015-03-01
NF-CLM-831479,NetworkFeature,CLM-831479,Claim,0.3,0.0184,0.1241,,0.291,0.099,1,2,0.21,0.45,No,No,2015-03-01
NF-CLM-714346,NetworkFeature,CLM-714346,Claim,0.1,0.0191,0.9608,,0.156,0.701,3,4,0.62,0.92,No,No,2015-03-01
NF-CLM-326289,NetworkFeature,CLM-326289,Claim,0.35,0.1662,0.448,,0.106,0.185,3,0,0.12,0.47,No,No,2015-03-01
NF-CLM-944537,NetworkFeature,CLM-944537,Claim,0.05,0.1878,0.2825,,0.332,0.054,1,0,0.33,0.2,No,No,2015-03-01
NF-CLM-779156,NetworkFeature,CLM-779156,Claim,0.25,0.3792,0.9503,,0.029,0.461,1,4,0.87,0.62,No,No,2015-03-01
NF-CLM-856153,NetworkFeature,CLM-856153,Claim,0.15,0.3214,0.2294,,0.372,0.219,1,2,0.03,0.22,No,No,2015-03-01
NF-CLM-473338,NetworkFeature,CLM-473338,Claim,0.3,0.3449,0.4942,,0.361,0.227,1,2,0.13,0.4,No,No,2015-03-01
NF-CLM-521694,NetworkFeature,CLM-521694,Claim,0.2,0.309,0.2055,,0.234,0.041,0,0,0.31,0.46,No,No,2015-03-01
NF-CLM-136520,NetworkFeature,CLM-136520,Claim,0.15,0.0562,0.3557,,0.106,0.288,2,3,0.37,0.4,No,No,2015-03-01
NF-CLM-730819,NetworkFeature,CLM-730819,Claim,0.45,0.6258,0.9761,RING-015,0.844,0.438,7,4,0.87,0.65,No,No,2015-03-01
NF-CLM-912665,NetworkFeature,CLM-912665,Claim,0.35,0.7816,0.9265,RING-006,0.536,0.811,4,5,0.51,0.64,Yes,No,2015-03-01
NF-CLM-469966,NetworkFeature,CLM-469966,Claim,0.2,0.0976,0.1461,,0.066,0.061,1,2,0.23,0.44,No,No,2015-03-01
NF-CLM-952300,NetworkFeature,CLM-952300,Claim,0.3,0.0026,0.261,,0.023,0.142,2,3,0.03,0.24,No,No,2015-03-01
NF-CLM-322609,NetworkFeature,CLM-322609,Claim,0.3,0.1505,0.494,,0.137,0.254,0,1,0.27,0.39,No,No,2015-03-01
NF-CLM-890280,NetworkFeature,CLM-890280,Claim,0.35,0.3485,0.5679,,0.141,0.469,1,3,0.65,0.51,Yes,No,2015-03-01
NF-CLM-431583,NetworkFeature,CLM-431583,Claim,0.35,0.2432,0.4379,,0.31,0.094,2,0,0.22,0.17,No,No,2015-03-01
NF-CLM-155912,NetworkFeature,CLM-155912,Claim,0.25,0.3806,0.9897,RING-003,0.925,0.444,10,2,0.99,0.93,No,Yes,2015-03-01
NF-CLM-110143,NetworkFeature,CLM-110143,Claim,0.25,0.0612,0.476,,0.126,0.22,1,3,0.2,0.06,No,No,2015-03-01
NF-CLM-808544,NetworkFeature,CLM-808544,Claim,0.25,0.029,0.4927,,0.096,0.176,3,2,0.32,0.4,No,No,2015-03-01
NF-CLM-409074,NetworkFeature,CLM-409074,Claim,0.25,0.3588,0.8549,RING-001,0.594,0.737,8,7,0.85,0.55,No,No,2015-03-01
NF-CLM-824728,NetworkFeature,CLM-824728,Claim,0.2,0.0836,0.2177,,0.342,0.157,2,2,0.33,0.22,No,No,2015-03-01
NF-CLM-606037,NetworkFeature,CLM-606037,Claim,0.35,0.2117,0.2617,,0.076,0.266,2,3,0.26,0.46,No,No,2015-03-01
